q,H,variant,n,mean,lo,hi,wr,n_pos_rate
0.05,1,contrarian,3420,-0.16995540345288163,-0.2350852135773918,-0.10635504675913288,0.42923976608187137,2859
0.05,1,momentum,3420,-0.07004459654711842,-0.13280581427572835,-0.007694016336571215,0.41637426900584795,2859
0.05,4,contrarian,3420,-0.17785174811590496,-0.2946209360254886,-0.060239823430355235,0.48333333333333334,2859
0.05,4,momentum,3420,-0.06214825188409509,-0.18193889224237345,0.05509987119561025,0.4388888888888889,2859
0.05,8,contrarian,3420,-0.19341018547098351,-0.36711392561577755,-0.022462338777095466,0.49064327485380116,2859
0.05,8,momentum,3420,-0.046589814529016574,-0.21423058538594178,0.12267390443591451,0.45497076023391814,2859
0.05,24,contrarian,3420,-0.038618473938404105,-0.37908047418481633,0.31777055855616665,0.5084795321637426,2859
0.05,24,momentum,3420,-0.20138152606159593,-0.5543926604240371,0.1250473151258429,0.4558479532163743,2859
all,4,contrarian,11213,-0.1681117095004975,-0.22349063973170988,-0.11499391032495829,0.4628556140194417,8455
all,8,contrarian,11213,-0.21549585771687627,-0.2916281204959184,-0.1375988032597354,0.47320074913047355,8455
0.1,1,contrarian,3981,-0.15957397591606534,-0.2170889180880929,-0.10460642076979519,0.4292891233358453,2859
0.1,1,momentum,3981,-0.08042602408393464,-0.13747187194750102,-0.025802368233471814,0.4189902034664657,2859
0.1,4,contrarian,3981,-0.1800409865236533,-0.2861013370141917,-0.07663522629670426,0.4782717910072846,2859
0.1,4,momentum,3981,-0.05995901347634672,-0.16466882533428323,0.04093462082816478,0.4453654860587792,2859
0.1,8,contrarian,3981,-0.19103920029935442,-0.34254636515516257,-0.03445954672610962,0.48630997236875156,2859
0.1,8,momentum,3981,-0.04896079970064563,-0.20199747189234815,0.10112697470320199,0.46068826927907564,2859
0.1,24,contrarian,3981,-0.035728624354485754,-0.3352072978095265,0.2756461239549684,0.49886963074604374,2859
0.1,24,momentum,3981,-0.20427137564551437,-0.5125212050998773,0.1095097756446279,0.4642049736247174,2859
all,4,contrarian,11213,-0.1681117095004975,-0.22174812374446065,-0.11552152471853105,0.4628556140194417,8455
all,8,contrarian,11213,-0.21549585771687627,-0.2922493887608391,-0.13768698095001536,0.47320074913047355,8455
