sym,date,net,hit,r0
ETH,2026-06-10,0.680000000000004,tp,0.6813188165855241
ETH,2026-06-26,-0.620000000000006,sl,0.31152447047289333
ETH,2026-07-14,0.6800000000000066,tp,1.163242642976127
ETH,2026-08-07,-0.6199999999999855,sl,-0.5521745430458013
ETH,2026-08-12,0.6800000000000019,tp,-0.4578659285312886
SOL,2026-06-10,-0.6200000000000082,sl,1.3709423258745626
SOL,2026-06-16,-0.620000000000007,sl,0.6535947712418232
SOL,2026-06-25,-0.6199999999999943,sl,0.8394698085419634
SOL,2026-07-09,-0.6200000000000053,sl,0.2188465499484906
SOL,2026-07-14,0.6800000000000057,tp,0.9814323607426987
SOL,2026-07-23,0.6800000000000053,tp,-0.3484320557491238
SOL,2026-07-31,0.680000000000001,tp,-0.17672648178357184
SOL,2026-08-05,0.6800000000000068,tp,-0.24226110363390663
SOL,2026-08-12,0.6800000000000007,tp,-0.3238341968911917
XRP,2026-06-10,0.6800000000000069,tp,1.2292118582791085
XRP,2026-06-16,-0.6200000000000054,sl,0.5854988771254479
XRP,2026-06-25,-0.6200000000000098,sl,0.777663262437925
XRP,2026-07-15,0.6799999999999977,tp,0.16244021297717026
XRP,2026-07-23,0.6799999999999997,tp,-0.29211295034078594
XRP,2026-08-07,-0.6199999999999888,sl,-0.2988239830345192
XRP,2026-08-12,-0.6200000000000025,sl,0.16634050880626564
XRP,2026-08-19,0.6800000000000085,tp,0.10934393638171978
XRP,2026-08-26,0.6800000000000016,tp,-0.33736294630307406
ADA,2026-06-16,-0.619999999999994,sl,0.6674082313681906
ADA,2026-06-17,0.6800000000000042,tp,0.1787842669845022
ADA,2026-06-25,-0.619999999999993,sl,1.0943912448700344
ADA,2026-07-15,0.6799999999999926,tp,0.3039513677811553
ADA,2026-07-23,0.680000000000008,tp,-0.34403669724770036
ADA,2026-07-27,-0.6199999999999961,sl,-0.42892156862745473
ADA,2026-08-07,0.6800000000000063,tp,-0.4464285714285773
1000PEPE,2026-07-14,0.6800000000000004,tp,0.9129418638621036
1000PEPE,2026-08-12,0.6800000000000075,tp,-0.21015761821365775
1000PEPE,2026-08-18,-0.6199999999999852,sl,-0.2604571606281945
BTC,2026-06-25,-0.6200000000000018,sl,0.44583067275734384
BTC,2026-07-14,0.6800000000000028,tp,0.8132342028699884
BTC,2026-07-15,0.6800000000000026,tp,0.14908753479740405
BTC,2026-07-23,0.23611127711249758,timeout,-0.19483727111591204
BTC,2026-07-27,-0.6199999999999841,sl,-0.2192719248843629
BTC,2026-08-12,0.6799999999999957,tp,-0.2591864434153621
BTC,2026-08-13,0.41602820241079264,timeout,0.08183125765200944
