,0
2021-12-27 00:00:00+00:00,-0.0050529428924342545
2021-12-28 00:00:00+00:00,0.0036322156664518462
2021-12-29 00:00:00+00:00,0.0005011218338618433
2021-12-30 00:00:00+00:00,0.0015399926396644427
2021-12-31 00:00:00+00:00,0.0012347398614693458
2022-01-01 00:00:00+00:00,0.003950550261386394
2022-01-02 00:00:00+00:00,-0.0034852973030669336
2022-01-03 00:00:00+00:00,-0.00557006757382249
2022-01-04 00:00:00+00:00,0.012713339889785869
2022-01-05 00:00:00+00:00,-0.02195485163024121
2022-01-06 00:00:00+00:00,-0.00022251493844742016
2022-01-07 00:00:00+00:00,-0.01082227787751731
2022-01-08 00:00:00+00:00,-0.02355451959525951
2022-01-09 00:00:00+00:00,0.012244303297450155
2022-01-10 00:00:00+00:00,-0.025354433246944207
2022-01-11 00:00:00+00:00,0.006212623611249222
2022-01-12 00:00:00+00:00,0.015197869186365806
2022-01-13 00:00:00+00:00,-0.021505462270446096
2022-01-14 00:00:00+00:00,0.023251078406533576
2022-01-15 00:00:00+00:00,0.015718778834046872
2022-01-16 00:00:00+00:00,0.00831644153677264
2022-01-17 00:00:00+00:00,-0.011518458582454918
2022-01-18 00:00:00+00:00,0.02232234458745668
2022-01-19 00:00:00+00:00,0.006466888501635869
2022-01-20 00:00:00+00:00,0.0015114851676550334
2022-01-21 00:00:00+00:00,-0.00047999999999999996
2022-01-22 00:00:00+00:00,-0.008965141083760347
2022-01-23 00:00:00+00:00,0.005880914119715608
2022-01-24 00:00:00+00:00,-0.008170280935612902
2022-01-25 00:00:00+00:00,0.015675936787572092
2022-01-26 00:00:00+00:00,0.014789581414518641
2022-01-27 00:00:00+00:00,-0.0005385218545375263
2022-01-28 00:00:00+00:00,0.014811014178796694
2022-01-29 00:00:00+00:00,-0.00731171845095068
2022-01-30 00:00:00+00:00,-0.012043912114702921
2022-01-31 00:00:00+00:00,-0.009432278260439185
2022-02-01 00:00:00+00:00,-0.009100287176094242
2022-02-02 00:00:00+00:00,-0.0026141595338238497
2022-02-03 00:00:00+00:00,-0.032772604430570854
2022-02-04 00:00:00+00:00,0.028442950995003147
2022-02-05 00:00:00+00:00,0.010512865027899592
2022-02-06 00:00:00+00:00,0.011954686130351283
2022-02-07 00:00:00+00:00,0.014299070304177968
2022-02-08 00:00:00+00:00,0.003066327740854049
2022-02-09 00:00:00+00:00,-0.00804393881909252
2022-02-10 00:00:00+00:00,0.0035436231501939338
2022-02-11 00:00:00+00:00,0.0037266210975650084
2022-02-12 00:00:00+00:00,0.0005230457689235111
2022-02-13 00:00:00+00:00,-0.011445626375318874
2022-02-14 00:00:00+00:00,0.009530941466568034
2022-02-15 00:00:00+00:00,-0.004214655997277666
2022-02-16 00:00:00+00:00,0.00934905718518236
2022-02-17 00:00:00+00:00,0.007938429655027779
2022-02-18 00:00:00+00:00,-0.0015827729231295909
2022-02-19 00:00:00+00:00,0.0023492701461412186
2022-02-20 00:00:00+00:00,-0.004312224352715778
2022-02-21 00:00:00+00:00,-0.012430990864630596
2022-02-22 00:00:00+00:00,0.018923488339523398
2022-02-23 00:00:00+00:00,-0.010932171574865665
2022-02-24 00:00:00+00:00,0.024003238270951632
2022-02-25 00:00:00+00:00,0.0016431512527797446
2022-02-26 00:00:00+00:00,-0.001275329274989775
2022-02-27 00:00:00+00:00,0.011071077464045984
2022-02-28 00:00:00+00:00,0.001121024385389336
2022-03-01 00:00:00+00:00,0.009186746021160437
2022-03-02 00:00:00+00:00,-0.001176950335146023
