symbol,side,entry_ts,net,gross,reason,held_s,rsi
BTC/USDT:USDT,short,1755297600,-0.6154132714438597,-0.2554132714438597,st2_hold,14400,81.95633103515584
BTC/USDT:USDT,long,1784745000,0.0718054142690262,0.4318054142690262,st2_hold,14400,25.576677894900968
ETH/USDT:USDT,short,1757119500,0.7455692559674106,1.1055692559674106,st2_hold,14400,72.85475820298288
ETH/USDT:USDT,long,1770184200,0.5836367733611799,0.94363677336118,trailing_stop,1500,26.792959399727422
ETH/USDT:USDT,long,1772658900,1.0384947680599637,1.3984947680599635,trailing_stop,3600,21.818334168637136
ETH/USDT:USDT,long,1779600600,0.6512995391704798,1.0112995391704798,trailing_stop,6600,29.318580342581015
ETH/USDT:USDT,short,1779840900,1.1067455860486377,1.4667455860486378,st2_hold,14400,72.9600513236459
ETH/USDT:USDT,long,1779999000,0.5378298481639292,0.8978298481639292,trailing_stop,6600,28.853237756021286
ETH/USDT:USDT,long,1780179300,0.9208475732089192,1.2808475732089193,st2_hold,14400,26.969849317705197
ETH/USDT:USDT,short,1784784900,0.8781661783956153,1.2381661783956153,trailing_stop,9000,74.22101816241918
ETH/USDT:USDT,short,1784874300,-3.960000000000003,-3.6000000000000036,stop_loss,2700,80.64354442508063
BNB/USDT:USDT,short,1754154900,2.640567977280855,3.0005679772808547,trailing_stop,3000,71.64552259514639
BNB/USDT:USDT,short,1754786700,-3.959999999999988,-3.599999999999988,stop_loss,9600,83.77455581873556
BNB/USDT:USDT,long,1757737500,-0.3373259768724801,0.0226740231275197,st2_hold,14400,25.31323880016799
BNB/USDT:USDT,short,1758318300,-1.354367285519651,-0.9943672855196508,st2_hold,14400,70.45834891368459
BNB/USDT:USDT,short,1758578400,0.3918811382523732,0.7518811382523732,trailing_stop,11700,73.58159958944196
BNB/USDT:USDT,short,1759010100,0.8436117079790934,1.2036117079790931,trailing_stop,8700,73.16479812527817
BNB/USDT:USDT,short,1760554800,1.0128137855692576,1.3728137855692577,trailing_stop,3600,70.75322723096701
BNB/USDT:USDT,short,1766523000,0.4436571671729697,0.8036571671729698,trailing_stop,6900,70.86977862507827
BNB/USDT:USDT,short,1766773200,-0.687243958573061,-0.327243958573061,st2_hold,14400,73.12605259966246
BNB/USDT:USDT,short,1768736100,-1.589832958255411,-1.2298329582554108,st2_hold,14400,70.32115568530995
BNB/USDT:USDT,short,1769386500,-1.026543872170952,-0.6665438721709519,st2_hold,14400,78.6208465831064
BNB/USDT:USDT,short,1770355500,-3.960000000000008,-3.6000000000000085,stop_loss,1500,76.57641635206055
BNB/USDT:USDT,short,1770429900,0.8816370106761414,1.2416370106761414,trailing_stop,14400,72.1469644842792
BNB/USDT:USDT,short,1770605400,2.909398430688753,3.269398430688753,st2_hold,14400,72.10220871768396
BNB/USDT:USDT,short,1770639600,0.2650911358404096,0.6250911358404097,trailing_stop,8400,74.85653868732133
BNB/USDT:USDT,long,1770852600,2.5384204010893554,2.8984204010893553,trailing_stop,8400,21.566181949130964
BNB/USDT:USDT,short,1770924600,1.5979107954266167,1.9579107954266168,trailing_stop,5400,70.90675440483999
BNB/USDT:USDT,short,1770972300,0.3429490349669529,0.7029490349669529,trailing_stop,5400,79.9972555075887
BNB/USDT:USDT,long,1777449900,0.9932605044704492,1.353260504470449,trailing_stop,9300,26.169198000452752
BNB/USDT:USDT,short,1780577100,1.095987800633122,1.4559878006331222,trailing_stop,2700,75.69824534067642
SOL/USDT:USDT,long,1754576400,-3.9600000000000257,-3.6000000000000254,stop_loss,8400,27.6966544530587
SOL/USDT:USDT,short,1754760600,-3.959999999999979,-3.5999999999999797,stop_loss,11400,75.48688460396302
SOL/USDT:USDT,long,1755435600,0.9042321707444408,1.2642321707444408,trailing_stop,3600,26.521892778367743
SOL/USDT:USDT,short,1755520500,0.3911194029851089,0.7511194029851089,trailing_stop,4200,78.71997055122799
SOL/USDT:USDT,short,1755959700,-2.4731963942663024,-2.1131963942663026,st2_hold,14400,75.55566934157648
SOL/USDT:USDT,long,1756800000,1.2411331024245484,1.6011331024245483,trailing_stop,3600,24.142458916143852
SOL/USDT:USDT,short,1757098800,0.8908641370869453,1.250864137086945,trailing_stop,8400,77.67014773148404
SOL/USDT:USDT,short,1757970000,0.397674239836033,0.757674239836033,trailing_stop,7800,73.12290917399642
SOL/USDT:USDT,long,1758067200,-3.960000000000001,-3.600000000000001,stop_loss,13500,26.294277658529353
SOL/USDT:USDT,short,1758697200,0.7232661577125691,1.083266157712569,trailing_stop,2400,73.52865755009587
SOL/USDT:USDT,short,1760009400,-3.9600000000000057,-3.600000000000006,stop_loss,5100,77.39012639758697
SOL/USDT:USDT,long,1760958600,0.4445853811565241,0.8045853811565241,trailing_stop,5400,15.18303959055696
SOL/USDT:USDT,short,1764990900,0.6051755041076107,0.9651755041076108,trailing_stop,5100,76.69841043607619
SOL/USDT:USDT,long,1766394300,0.4078881542260739,0.7678881542260739,trailing_stop,2100,23.18665034694567
SOL/USDT:USDT,short,1766487900,0.8863572974273034,1.2463572974273034,trailing_stop,5400,81.02716243637879
SOL/USDT:USDT,long,1766736000,2.2275489236790538,2.5875489236790536,trailing_stop,7200,21.28707803246813
SOL/USDT:USDT,long,1767588000,0.8626879574184353,1.2226879574184353,trailing_stop,4200,13.491006679300328
SOL/USDT:USDT,long,1767717600,-3.960000000000015,-3.600000000000015,stop_loss,3900,14.284166657055067
SOL/USDT:USDT,short,1770151500,1.545455266812186,1.9054552668121865,trailing_stop,4200,75.9584831268262
SOL/USDT:USDT,short,1772403600,0.6873394055609064,1.0473394055609064,trailing_stop,600,79.21158017461423
SOL/USDT:USDT,long,1776105000,4.439999999999985,4.799999999999986,take_profit,4800,24.35494142118463
SOL/USDT:USDT,long,1776390000,-3.313491003734314,-2.9534910037343143,st2_hold,14400,29.455837070372525
SOL/USDT:USDT,short,1779209400,0.3392086925711982,0.6992086925711982,trailing_stop,7200,74.59811252451438
SOL/USDT:USDT,long,1779302100,-1.0917923103728933,-0.7317923103728933,st2_hold,14400,27.434751361529223
SOL/USDT:USDT,long,1779342900,1.0232061068702794,1.3832061068702797,trailing_stop,8700,27.33352041357874
SOL/USDT:USDT,long,1779410700,-0.4290289921767005,-0.0690289921767004,st2_hold,14400,27.435667994026673
SOL/USDT:USDT,long,1782031200,4.440000000000016,4.800000000000017,take_profit,5100,28.057237409773094
SOL/USDT:USDT,short,1782481800,-3.960000000000002,-3.6000000000000023,stop_loss,300,72.07226181817617
SOL/USDT:USDT,short,1782527700,1.0375843398583964,1.3975843398583965,trailing_stop,10800,71.60377994976946
SOL/USDT:USDT,short,1783238400,2.39726326227073,2.75726326227073,trailing_stop,7500,71.17987296466022
SOL/USDT:USDT,short,1783324200,1.6067780252413155,1.9667780252413152,trailing_stop,8700,73.67673982539054
SOL/USDT:USDT,short,1783511700,2.2447950502707172,2.604795050270717,trailing_stop,5700,74.72477402710993
SOL/USDT:USDT,short,1783532100,0.8349716348634132,1.1949716348634132,trailing_stop,1500,75.66406678054115
SOL/USDT:USDT,long,1783688700,-3.96000000000002,-3.60000000000002,stop_loss,4200,19.641635480526983
SOL/USDT:USDT,long,1784082600,1.3378351050039017,1.6978351050039016,trailing_stop,7200,20.049876134838712
SOL/USDT:USDT,short,1784154900,2.2699600360964256,2.6299600360964255,trailing_stop,8700,75.03481804507896
SOL/USDT:USDT,long,1784349900,-0.9596801705757156,-0.5996801705757157,st2_hold,14400,29.95713648913863
SOL/USDT:USDT,long,1784521200,0.7770923379175309,1.1370923379175308,trailing_stop,1800,22.09470955750028
LINK/USDT:USDT,long,1754822400,0.4157072005877935,0.7757072005877935,trailing_stop,600,19.687423237602275
LINK/USDT:USDT,long,1755064800,-3.96000000000001,-3.6000000000000103,stop_loss,2400,18.23838730518608
LINK/USDT:USDT,short,1755200400,4.4399999999999915,4.799999999999992,take_profit,1500,70.63511791120877
LINK/USDT:USDT,short,1755651600,1.108048301508369,1.4680483015083692,trailing_stop,1200,73.79766213139507
LINK/USDT:USDT,long,1757360400,1.6989340190010953,2.058934019001095,trailing_stop,8700,28.063673531866968
LINK/USDT:USDT,short,1757390700,-3.9600000000000057,-3.6000000000000054,stop_loss,7200,73.84576127839685
LINK/USDT:USDT,short,1757794800,-0.420340319401412,-0.060340319401412,st2_hold,14400,70.69391276962722
LINK/USDT:USDT,long,1762090200,-3.960000000000012,-3.600000000000012,stop_loss,3300,23.53604532535168
LINK/USDT:USDT,short,1762217400,1.8414585764294364,2.2014585764294363,trailing_stop,600,75.44732662371757
LINK/USDT:USDT,short,1763073300,-3.959999999999991,-3.5999999999999917,stop_loss,3300,74.87780889293415
LINK/USDT:USDT,long,1763910000,0.7742054728756852,1.1342054728756852,trailing_stop,1500,26.01448613065166
LINK/USDT:USDT,short,1764165000,0.5362090084503156,0.8962090084503156,trailing_stop,4200,72.51426166711965
LINK/USDT:USDT,short,1764235800,0.4509382014065937,0.8109382014065937,trailing_stop,10800,70.97506931448518
LINK/USDT:USDT,short,1764413100,0.7802331250952376,1.1402331250952376,trailing_stop,12600,70.494309327022
LINK/USDT:USDT,short,1765445100,-1.4870718232044235,-1.1270718232044237,st2_hold,14400,76.8608091151193
LINK/USDT:USDT,long,1767658800,-3.9600000000000217,-3.6000000000000214,stop_loss,900,23.73749008198304
LINK/USDT:USDT,short,1767828600,0.3060223048326989,0.6660223048326989,trailing_stop,4200,71.06619030795719
LINK/USDT:USDT,long,1768416300,1.0152523816294377,1.3752523816294375,trailing_stop,900,28.29804225320197
LINK/USDT:USDT,short,1768596000,-2.0519358382773007,-1.6919358382773009,st2_hold,14400,72.6774491535341
LINK/USDT:USDT,long,1772659500,1.1370372730169245,1.4970372730169244,trailing_stop,3000,18.810312605583576
LINK/USDT:USDT,short,1781007300,0.4127226784586372,0.7727226784586372,trailing_stop,4500,73.2978810438355
LINK/USDT:USDT,short,1785215700,0.395471833512819,0.755471833512819,trailing_stop,3900,71.48325199836117
ADA/USDT:USDT,short,1756568100,0.5020104916433062,0.8620104916433062,trailing_stop,11400,73.08601678216793
ADA/USDT:USDT,short,1756945800,1.4262873467444597,1.7862873467444595,trailing_stop,3600,75.86850191588078
ADA/USDT:USDT,long,1757053500,4.440000000000002,4.8000000000000025,take_profit,4200,22.00495473504077
ADA/USDT:USDT,short,1757206800,-2.369744214372738,-2.009744214372738,st2_hold,14400,70.67115305771523
ADA/USDT:USDT,long,1759805100,0.7367541436464343,1.0967541436464343,trailing_stop,7800,29.886607295646684
ADA/USDT:USDT,short,1760009700,0.2574538745387822,0.6174538745387822,trailing_stop,7800,71.06504242295753
ADA/USDT:USDT,short,1760240700,-3.960000000000005,-3.600000000000005,stop_loss,2700,70.70297925365112
ADA/USDT:USDT,short,1763138100,4.440000000000004,4.800000000000004,take_profit,4200,70.40792780940754
ADA/USDT:USDT,short,1763585100,-3.960000000000002,-3.6000000000000028,stop_loss,600,73.62411929181695
ADA/USDT:USDT,long,1763621400,2.426571981923821,2.786571981923821,trailing_stop,4800,27.004174095066773
ADA/USDT:USDT,short,1766487300,0.6293529893530241,0.989352989353024,trailing_stop,5700,77.03467808657078
ADA/USDT:USDT,long,1766915100,-1.8951467815782488,-1.535146781578249,st2_hold,14400,27.64914510635245
ADA/USDT:USDT,short,1767227700,0.5385654512851741,0.8985654512851741,trailing_stop,4200,77.6070329526099
ADA/USDT:USDT,short,1768270200,0.7568600154679929,1.1168600154679929,trailing_stop,3600,70.21983367353074
ADA/USDT:USDT,short,1768542900,0.6321139659119995,0.9921139659119996,st2_hold,14400,79.47313585594458
ADA/USDT:USDT,long,1769610600,0.3225396825396928,0.6825396825396928,trailing_stop,600,26.969007777161323
ADA/USDT:USDT,short,1771332600,4.440000000000015,4.800000000000015,take_profit,6900,84.2228679813561
ADA/USDT:USDT,long,1771857900,0.5111324944485218,0.8711324944485218,trailing_stop,600,27.98973433030781
ADA/USDT:USDT,short,1771885200,0.4457823129251798,0.8057823129251798,trailing_stop,2700,72.43917795299674
ADA/USDT:USDT,short,1772247000,1.6508921533501195,2.0108921533501194,trailing_stop,5700,73.51546559070218
ADA/USDT:USDT,long,1772339100,0.4197472797472559,0.7797472797472559,trailing_stop,3000,29.592855664955565
ADA/USDT:USDT,short,1773458700,1.7976966503575418,2.1576966503575417,trailing_stop,8400,71.12733910180455
ADA/USDT:USDT,short,1774479300,0.4091937869822573,0.7691937869822573,trailing_stop,6600,72.53364816631078
ADA/USDT:USDT,short,1774596600,4.439999999999978,4.7999999999999785,take_profit,3900,72.48130532555196
ADA/USDT:USDT,short,1776553800,1.504962045545414,1.864962045545414,trailing_stop,4200,71.98384262980295
ADA/USDT:USDT,long,1778074500,-3.959999999999989,-3.599999999999989,stop_loss,600,26.000802771992
ADA/USDT:USDT,short,1778530200,1.304488636363657,1.6644886363636568,trailing_stop,1800,74.45146039415681
ADA/USDT:USDT,long,1780993200,0.6914234875444442,1.051423487544444,trailing_stop,1200,29.601574449429748
ADA/USDT:USDT,long,1781368200,0.6439930555555141,1.003993055555514,trailing_stop,1200,27.364950366938075
ADA/USDT:USDT,long,1781412300,-1.7561605584642148,-1.396160558464215,st2_hold,14400,22.69508706265026
ADA/USDT:USDT,short,1782035700,0.4158044554455423,0.7758044554455423,trailing_stop,5100,78.03257327889781
ADA/USDT:USDT,short,1782105600,-3.959999999999997,-3.599999999999997,stop_loss,7800,75.45954385984702
ADA/USDT:USDT,long,1782190200,-3.960000000000015,-3.600000000000015,stop_loss,4500,25.49737536319489
ADA/USDT:USDT,short,1782423900,2.5709141660851618,2.9309141660851616,st2_hold,14400,71.96852352598474
ADA/USDT:USDT,short,1783257600,-3.9599999999999898,-3.59999999999999,stop_loss,6300,71.33904934882173
ADA/USDT:USDT,short,1785065700,0.9243920145191166,1.2843920145191166,trailing_stop,9000,72.3676309291476
