timestamp,open,high,low,close,volume
2026-02-21 00:30:00,626.88,627.09,626.25,626.36,233.95
2026-02-21 00:35:00,626.36,626.42,625.84,625.9,193.46
2026-02-21 00:40:00,625.86,625.92,624.77,624.77,249.86
2026-02-21 00:45:00,624.74,624.8,624.46,624.78,305.74
2026-02-21 00:50:00,624.71,624.71,624.38,624.52,160.18
2026-02-21 00:55:00,624.48,625.0,624.26,624.96,148.91
2026-02-21 01:00:00,625.02,625.85,625.02,625.52,199.62
2026-02-21 01:05:00,625.52,625.97,625.33,625.62,163.46
2026-02-21 01:10:00,625.44,625.54,625.25,625.51,129.64
2026-02-21 01:15:00,625.68,625.95,625.56,625.73,256.54
2026-02-21 01:20:00,625.73,625.86,625.07,625.86,595.92
2026-02-21 01:25:00,625.8,625.92,625.73,625.75,109.31
2026-02-21 01:30:00,625.69,626.55,625.69,626.24,204.36
2026-02-21 01:35:00,626.18,627.78,626.18,627.77,204.88
2026-02-21 01:40:00,627.62,627.79,627.36,627.69,120.15
2026-02-21 01:45:00,627.69,628.41,627.65,628.39,275.36
2026-02-21 01:50:00,628.33,628.43,627.8,628.3,380.75
2026-02-21 01:55:00,628.19,628.4,627.8,628.16,311.73
2026-02-21 02:00:00,628.24,628.25,627.37,627.68,376.68
2026-02-21 02:05:00,627.58,628.04,627.38,628.04,133.1
2026-02-21 02:10:00,627.98,628.24,627.89,628.24,105.23
2026-02-21 02:15:00,628.24,628.56,627.98,628.28,334.35
2026-02-21 02:20:00,628.29,628.49,628.12,628.26,425.9
2026-02-21 02:25:00,627.96,628.06,627.79,627.81,173.81
2026-02-21 02:30:00,627.81,628.41,627.74,628.36,162.47
2026-02-21 02:35:00,628.44,628.44,627.84,628.06,172.53
2026-02-21 02:40:00,627.92,628.03,627.75,628.03,96.7
2026-02-21 02:45:00,628.22,628.22,627.6,627.6,104.88
2026-02-21 02:50:00,627.61,627.79,627.44,627.76,352.25
2026-02-21 02:55:00,627.86,628.35,627.81,627.82,147.18
2026-02-21 03:00:00,627.82,627.82,625.91,626.69,124.11
2026-02-21 03:05:00,626.64,626.67,626.15,626.24,161.77
2026-02-21 03:10:00,626.38,626.82,626.29,626.58,127.56
2026-02-21 03:15:00,626.3,626.88,626.3,626.35,86.13
2026-02-21 03:20:00,626.3,626.9,626.3,626.84,95.65
2026-02-21 03:25:00,626.83,626.84,626.4,626.7,111.39
2026-02-21 03:30:00,626.75,627.09,626.64,626.78,98.7
2026-02-21 03:35:00,626.64,626.85,626.58,626.58,43.05
2026-02-21 03:40:00,626.38,626.38,624.98,625.03,168.05
2026-02-21 03:45:00,625.03,625.23,624.91,625.15,138.44
2026-02-21 03:50:00,625.24,625.24,625.02,625.08,87.53
2026-02-21 03:55:00,625.12,625.54,624.92,625.5,87.23
