timestamp,open,high,low,close,volume
2025-11-15 00:00:00+00:00,2.2434,2.3015,2.2422,2.2936,4721597.98
2025-11-15 04:00:00+00:00,2.2935,2.2953,2.2728,2.2837,2669374.21
2025-11-15 08:00:00+00:00,2.284,2.2849,2.2414,2.2565,4004208.66
2025-11-15 12:00:00+00:00,2.2559,2.2778,2.2432,2.2538,4582481.59
2025-11-15 16:00:00+00:00,2.2537,2.2712,2.2277,2.2554,3718875.32
2025-11-15 20:00:00+00:00,2.2557,2.2599,2.2093,2.2354,4547889.14
2025-11-16 00:00:00+00:00,2.2356,2.2546,2.187,2.2488,4464018.18
2025-11-16 04:00:00+00:00,2.2493,2.2689,2.2382,2.2654,4139014.8
2025-11-16 08:00:00+00:00,2.2656,2.2788,2.2289,2.2341,3327977.73
2025-11-16 12:00:00+00:00,2.2336,2.2456,2.1813,2.1867,3297220.88
2025-11-16 16:00:00+00:00,2.1865,2.23,2.1542,2.2148,4978164.22
2025-11-16 20:00:00+00:00,2.2156,2.2291,2.164,2.2141,6864280.99
2025-11-17 00:00:00+00:00,2.2141,2.2634,2.1969,2.2567,3714695.01
2025-11-17 04:00:00+00:00,2.2565,2.268,2.2383,2.2631,3564151.38
2025-11-17 08:00:00+00:00,2.2635,2.2828,2.2571,2.2707,2974377.25
2025-11-17 12:00:00+00:00,2.2712,2.3075,2.1949,2.207,4933073.27
2025-11-17 16:00:00+00:00,2.2081,2.22,2.1197,2.1263,3998588.04
2025-11-17 20:00:00+00:00,2.1258,2.1718,2.1141,2.1614,3330120.28
2025-11-18 00:00:00+00:00,2.1619,2.1758,2.1056,2.1645,3708821.41
2025-11-18 04:00:00+00:00,2.1648,2.178,2.1254,2.1604,3715525.68
2025-11-18 08:00:00+00:00,2.1607,2.2008,2.1607,2.1829,3536696.62
2025-11-18 12:00:00+00:00,2.1838,2.2276,2.15,2.2131,5269614.56
2025-11-18 16:00:00+00:00,2.2131,2.2388,2.2006,2.2266,3864503.41
2025-11-18 20:00:00+00:00,2.2268,2.2395,2.2025,2.216,3666558.16
2025-11-19 00:00:00+00:00,2.2161,2.218,2.1792,2.1833,3640859.65
2025-11-19 04:00:00+00:00,2.1832,2.1862,2.126,2.1671,3312635.05
2025-11-19 08:00:00+00:00,2.1671,2.168,2.1288,2.1304,3675912.01
2025-11-19 12:00:00+00:00,2.1296,2.1492,2.081,2.085,4491136.45
2025-11-19 16:00:00+00:00,2.085,2.1014,2.0272,2.0361,3769317.08
2025-11-19 20:00:00+00:00,2.0358,2.1144,2.0256,2.108,4392545.6
2025-11-20 00:00:00+00:00,2.108,2.1388,2.0954,2.1335,4161608.81
2025-11-20 04:00:00+00:00,2.1336,2.1492,2.1184,2.1395,3662020.02
2025-11-20 08:00:00+00:00,2.1395,2.1403,2.1078,2.1155,3140684.62
2025-11-20 12:00:00+00:00,2.1151,2.1426,2.0813,2.0845,4347578.23
