sym,side,ts,k,v,fwd6,fwd12,fwd24,fwd48,fwd72
1000PEPE,-1,2025-08-14 12:00:00+00:00,4.0,3.0,154.63090121100697,86.0546826231956,188.2501917280488,250.49492589487855,-46.103907685173255
1000PEPE,-1,2025-10-10 21:00:00+00:00,4.0,3.0,-325.6120803401275,-587.0107022430738,193.66661779797622,-946.195572496702,-1598.0061574549186
1000PEPE,-1,2025-11-03 15:00:00+00:00,4.0,3.0,74.2134420403473,-28.396223128115405,335.3541688442907,-54.527716804291245,706.2471690881855
1000PEPE,-1,2026-01-19 00:00:00+00:00,4.0,3.0,-69.14934713744935,24.723788920650858,-125.93679981457217,170.94182183419628,-55.4353704705246
1000PEPE,-1,2026-02-28 06:00:00+00:00,4.0,3.0,-300.56464456348573,-436.65846242942007,-529.0285217894897,146.5180251918341,-57.91226292167329
1000PEPE,1,2025-08-22 14:00:00+00:00,4.0,3.0,704.4065016403223,351.1780495079031,527.699075454815,64.02848195645738,-562.1831195943927
1000PEPE,1,2026-01-02 12:00:00+00:00,4.0,3.0,431.8354777622435,820.6643895014421,689.8748739005,2242.8897580659445,1974.0544749836308
1000PEPE,1,2026-01-21 19:00:00+00:00,4.0,3.0,65.56425877574767,-87.80582148728344,-427.2314089546458,-303.45227734261624,-322.0191470844214
1000SHIB,-1,2025-10-10 21:00:00+00:00,4.0,3.0,-1161.8572358429158,-1392.9268821870244,-751.7899761336499,-1569.7548275113893,-2114.3415057496195
1000SHIB,-1,2025-11-03 15:00:00+00:00,4.0,3.0,109.3191903885704,2.1647364433385885,361.510986037451,80.0952484035078,391.81729624418347
1000SHIB,-1,2025-12-01 00:00:00+00:00,4.0,3.0,-41.43646408839796,-2.5113008538424353,5.022601707684871,-699.3972877950782,-1206.6800602712212
1000SHIB,-1,2025-12-17 15:00:00+00:00,4.0,3.0,227.89071604298883,302.9910656480639,463.55043376926085,265.44089084552525,378.09141525314004
1000SHIB,-1,2026-01-21 16:00:00+00:00,4.0,3.0,-390.7776475185609,-349.09469844991656,-289.17545916373524,-451.99947896313654,-194.08623160088513
1000SHIB,-1,2026-01-31 14:00:00+00:00,4.0,3.0,182.35294117647015,-32.352941176470026,244.11764705882243,-264.70588235294247,-289.7058823529419
1000SHIB,-1,2026-02-23 01:00:00+00:00,4.0,3.0,-224.43469456631783,-342.55821802227524,-96.18629767127906,-188.99763752953103,-499.49375632804663
1000SHIB,1,2025-08-22 14:00:00+00:00,4.0,3.0,509.3352081868607,164.8308725880776,303.101320209358,57.02679478165828,-371.06476056558034
1000SHIB,1,2025-11-05 02:00:00+00:00,4.0,3.0,-75.27119769758728,97.40978525569987,115.12065530219218,210.31658180207913,1153.420411777728
1000SHIB,1,2025-12-02 15:00:00+00:00,4.0,3.0,1.172470395121028,159.45597373666408,921.5617305663027,327.11924023918425,-329.4641810294285
1000SHIB,1,2025-12-26 02:00:00+00:00,4.0,3.0,-62.12037548315785,-146.32799558255027,-66.26173384870148,121.47984538928736,419.657647708449
1000SHIB,1,2026-01-02 16:00:00+00:00,4.0,3.0,-202.8495532480079,-194.3974885293409,-265.63631972953306,1240.0386380101436,1445.3030668920564
1000SHIB,1,2026-01-04 16:00:00+00:00,4.0,3.0,-134.32346838484156,-515.4526591678499,351.6435513814553,-329.8023370099379,-310.1452440755703
AAVE,-1,2025-08-14 12:00:00+00:00,4.0,3.0,24.761230986912743,-57.88339711225943,136.66913207061816,662.1217480785934,228.31784416503243
AAVE,-1,2025-09-22 06:00:00+00:00,4.0,3.0,-80.58498731532416,175.72004178480927,-54.469482166839,-323.83226384121724,55.58871810177668
AAVE,-1,2025-10-10 21:00:00+00:00,4.0,3.0,-649.4218728577317,-1023.7192084456836,-596.8648599241355,-1562.9998628947471,-1964.7182487089253
AAVE,1,2025-07-06 21:00:00+00:00,4.0,3.0,-2.4270161569928117,-18.722696068234068,-292.9755218084729,127.59170653907415,508.63324318701774
