sym,side,ts,k,v,fwd6,fwd12,fwd24,fwd48,fwd72
1000PEPE,-1,2025-08-14 12:00:00+00:00,3.0,3.0,154.63090121100697,86.0546826231956,188.2501917280488,250.49492589487855,-46.103907685173255
1000PEPE,-1,2025-10-10 21:00:00+00:00,3.0,3.0,-325.6120803401275,-587.0107022430738,193.66661779797622,-946.195572496702,-1598.0061574549186
1000PEPE,-1,2025-11-03 15:00:00+00:00,3.0,3.0,74.2134420403473,-28.396223128115405,335.3541688442907,-54.527716804291245,706.2471690881855
1000PEPE,-1,2026-01-19 00:00:00+00:00,3.0,3.0,-69.14934713744935,24.723788920650858,-125.93679981457217,170.94182183419628,-55.4353704705246
1000PEPE,-1,2026-01-31 14:00:00+00:00,3.0,3.0,286.79423576659536,91.42452161587488,133.9475549255842,-246.16111504843107,-322.2300968580205
1000PEPE,-1,2026-02-28 06:00:00+00:00,3.0,3.0,-300.56464456348573,-436.65846242942007,-529.0285217894897,146.5180251918341,-57.91226292167329
1000PEPE,1,2025-08-22 14:00:00+00:00,3.0,3.0,704.4065016403223,351.1780495079031,527.699075454815,64.02848195645738,-562.1831195943927
1000PEPE,1,2026-01-02 12:00:00+00:00,3.0,3.0,431.8354777622435,820.6643895014421,689.8748739005,2242.8897580659445,1974.0544749836308
1000PEPE,1,2026-01-21 19:00:00+00:00,3.0,3.0,65.56425877574767,-87.80582148728344,-427.2314089546458,-303.45227734261624,-322.0191470844214
1000SHIB,-1,2025-10-10 21:00:00+00:00,3.0,3.0,-1161.8572358429158,-1392.9268821870244,-751.7899761336499,-1569.7548275113893,-2114.3415057496195
1000SHIB,-1,2025-11-03 03:00:00+00:00,3.0,3.0,199.5679456846,353.87305832733307,497.8911634605498,701.5739121489562,585.330727291431
1000SHIB,-1,2025-11-04 05:00:00+00:00,3.0,3.0,-147.12488769092369,52.785265049416495,-143.75561545372895,-66.26235399820324,-471.6981132075482
1000SHIB,-1,2025-11-21 07:00:00+00:00,3.0,3.0,-91.31261889663955,177.5523145212421,272.6696258719086,-59.6068484464185,-173.74762206721516
1000SHIB,-1,2025-12-01 00:00:00+00:00,3.0,3.0,-41.43646408839796,-2.5113008538424353,5.022601707684871,-699.3972877950782,-1206.6800602712212
1000SHIB,-1,2025-12-17 15:00:00+00:00,3.0,3.0,227.89071604298883,302.9910656480639,463.55043376926085,265.44089084552525,378.09141525314004
1000SHIB,-1,2026-01-02 18:00:00+00:00,3.0,3.0,-94.6097348437691,209.1373086020165,-12.4486493215481,-1269.7622307979595,-1429.1049421137814
1000SHIB,-1,2026-01-21 16:00:00+00:00,3.0,3.0,-390.7776475185609,-349.09469844991656,-289.17545916373524,-451.99947896313654,-194.08623160088513
1000SHIB,-1,2026-01-31 14:00:00+00:00,3.0,3.0,182.35294117647015,-32.352941176470026,244.11764705882243,-264.70588235294247,-289.7058823529419
1000SHIB,-1,2026-02-23 01:00:00+00:00,3.0,3.0,-224.43469456631783,-342.55821802227524,-96.18629767127906,-188.99763752953103,-499.49375632804663
1000SHIB,1,2025-07-15 17:00:00+00:00,3.0,3.0,44.408852649970854,-27.66453115899847,433.89633080955116,372.743156668609,717.8217821782184
1000SHIB,1,2025-08-22 14:00:00+00:00,3.0,3.0,509.3352081868607,164.8308725880776,303.101320209358,57.02679478165828,-371.06476056558034
1000SHIB,1,2025-11-05 02:00:00+00:00,3.0,3.0,-75.27119769758728,97.40978525569987,115.12065530219218,210.31658180207913,1153.420411777728
1000SHIB,1,2025-12-02 15:00:00+00:00,3.0,3.0,1.172470395121028,159.45597373666408,921.5617305663027,327.11924023918425,-329.4641810294285
1000SHIB,1,2025-12-03 15:00:00+00:00,3.0,3.0,-72.43195785777034,-260.0965759438112,-333.6259877085168,-948.200175592625,-793.4591747146613
1000SHIB,1,2025-12-18 15:00:00+00:00,3.0,3.0,-530.7712980381607,-198.8712711636653,102.12308519215397,-14.780972856758279,-264.71378661650056
1000SHIB,1,2025-12-26 02:00:00+00:00,3.0,3.0,-62.12037548315785,-146.32799558255027,-66.26173384870148,121.47984538928736,419.657647708449
1000SHIB,1,2026-01-01 15:00:00+00:00,3.0,3.0,399.610136452242,455.30492898913974,1532.9991645781126,1243.3862433862441,2765.246449456977
1000SHIB,1,2026-01-02 16:00:00+00:00,3.0,3.0,-202.8495532480079,-194.3974885293409,-265.63631972953306,1240.0386380101436,1445.3030668920564
1000SHIB,1,2026-01-04 16:00:00+00:00,3.0,3.0,-134.32346838484156,-515.4526591678499,351.6435513814553,-329.8023370099379,-310.1452440755703
1000SHIB,1,2026-02-25 14:00:00+00:00,3.0,3.0,306.2689424150578,-98.89934598819706,-371.6701228266084,-722.603286010528,-1146.9133833147228
1000SHIB,1,2026-04-13 22:00:00+00:00,3.0,3.0,-177.55443886097066,-63.651591289781706,-246.2311557788932,-11.725293132327508,490.7872696817428
AAVE,-1,2025-08-14 12:00:00+00:00,3.0,3.0,24.761230986912743,-57.88339711225943,136.66913207061816,662.1217480785934,228.31784416503243
