sym,t,wk,fwd48,fwd24,abs,sgn,sa48,sa24
1000PEPE,2025-06-29 23:00:00+00:00,0.13917181041760318,-0.1097522251623767,-0.06268943949963923,0.13917181041760318,1.0,-1097.522251623767,-626.8943949963923
1000PEPE,2025-07-06 23:00:00+00:00,0.04285699418235556,0.01718459972456743,-0.01215496078079159,0.04285699418235556,1.0,171.84599724567428,-121.5496078079159
1000PEPE,2025-07-13 23:00:00+00:00,-0.033743102824894344,0.04600805303615729,-0.006206531907105517,0.033743102824894344,-1.0,-460.0805303615729,62.06531907105517
1000PEPE,2025-07-20 23:00:00+00:00,0.08643409052198026,0.009776954321955467,0.0050452504810090115,0.08643409052198026,1.0,97.76954321955466,50.45250481009012
1000PEPE,2025-07-27 23:00:00+00:00,0.03300770045006818,-0.09886758219413772,-0.07000187693558979,0.03300770045006818,1.0,-988.6758219413772,-700.0187693558979
1000PEPE,2025-08-03 23:00:00+00:00,-0.009270317920718862,-0.025120532639473447,0.028516491926226184,0.009270317920718862,-1.0,251.20532639473447,-285.16491926226183
1000PEPE,2025-08-10 23:00:00+00:00,0.013636516306720914,0.005426138246404699,-0.0706806282722513,0.013636516306720914,1.0,54.26138246404699,-706.806282722513
1000PEPE,2025-08-17 23:00:00+00:00,0.03542757092033466,-0.08231430242497861,-0.03874566968101856,0.03542757092033466,1.0,-823.1430242497861,-387.4566968101856
1000PEPE,2025-08-24 23:00:00+00:00,-0.04902830346087306,-0.06906798822411098,-0.10040883376247034,0.04902830346087306,-1.0,690.6798822411098,1004.0883376247034
1000PEPE,2025-08-31 23:00:00+00:00,0.0031838187096171477,0.015060990789146134,-0.019064807899759284,0.0031838187096171477,1.0,150.60990789146135,-190.64807899759285
1000PEPE,2025-09-07 23:00:00+00:00,0.009653791539396828,0.04305121435579973,0.04270729018096486,0.009653791539396828,1.0,430.51214355799726,427.0729018096486
1000PEPE,2025-09-14 23:00:00+00:00,0.016841660207173703,-0.04099965349965362,-0.06726437976437982,0.016841660207173703,1.0,-409.9965349965362,-672.6437976437983
1000PEPE,2025-09-21 23:00:00+00:00,-0.03755282455312969,-0.08053536402446071,-0.07155494019460795,0.03755282455312969,-1.0,805.353640244607,715.5494019460796
