et,mid,spread,bidsz5,asksz5,imb1,imb5,tape_sv,tape_vol,tape_cnt,tape_aggr,tape_bigsv,ofi_w,fwd30,fwd60,fwd300
1781309144.749,5.0825,0.0009837678307919122,958.5,625.9,0.4684234438891413,0.2099217369351174,-19.800000000000182,219.40000000000146,4.0,0.4548769371011787,0.0,3474.500000000001,0.0003935071323169047,0.0011805213969503646,0.0036399409739302324
1781309174.749,5.0845,0.000983380863408377,844.9,307.4,-0.17149478563151793,0.46645838757268077,-482.39999999999964,482.40000000000146,8.0,0.0,0.0,805.1000000000004,0.0007867046907266318,0.0005900285180450612,0.0027534664175433857
1781309179.749,5.0845,0.000983380863408377,844.9,307.4,-0.17149478563151793,0.46645838757268077,-259.1999999999998,259.1999999999971,4.0,0.0,0.0,486.60000000000036,0.0010817189497491623,0.0011800570360901224,0.002950142590225306
1781309184.749,5.0845,0.000983380863408377,844.9,307.4,-0.17149478563151793,0.46645838757268077,-30.800000000000182,229.1999999999971,4.0,0.43280977312391794,0.0,486.60000000000036,0.0010817189497491623,0.0008850427770675918,0.002950142590225306
1781309189.749,5.0845,0.000983380863408377,844.9,307.4,-0.17149478563151793,0.46645838757268077,-30.800000000000182,229.1999999999971,4.0,0.43280977312391794,0.0,21.5,0.0010817189497491623,0.0006883666043858464,0.0032451568492476617
1781309194.749,5.0845,0.000983380863408377,844.9,307.4,-0.17149478563151793,0.46645838757268077,76.59999999999945,336.59999999999854,6.0,0.6137849079025641,0.0,0.0,0.0011800570360901224,0.0005900285180450612,0.0033434949355884472
1781309199.749,5.0845,0.000983380863408377,844.9,307.4,-0.17149478563151793,0.46645838757268077,-23.600000000000364,436.79999999999563,8.0,0.4729853479853577,0.0,0.0,0.0005900285180450612,0.0002950142590225306,0.0032451568492476617
1781309204.749,5.0885,0.0009826078412105519,1246.7,571.2,0.857535082367297,0.37158259530227183,106.39999999999964,306.79999999999563,6.0,0.6734028683181392,0.0,710.0,-0.00019652156824200565,-0.00039304313648418586,0.002456519603026467
1781309209.749,5.09,0.0007858546168957877,736.1999999999999,873.3000000000001,-0.4464907914385267,-0.08518173345759561,199.79999999999927,400.1999999999971,8.0,0.7496251874063113,0.0,812.3000000000002,9.823182711210434e-05,-0.000294695481335964,0.002455795677799642
1781309214.749,5.09,0.0007858546168957877,786.2,502.8,0.840893470790378,0.21986035686578745,100.59999999999945,301.0,6.0,0.6671096345515047,0.0,1391.4000000000005,-0.00019646365422385968,-0.00039292730844789385,0.002455795677799642
1781309219.749,5.09,0.0007858546168957877,786.2,502.8,0.840893470790378,0.21986035686578745,193.19999999999982,393.59999999999854,8.0,0.7454268292682992,0.0,1391.4000000000005,-0.00039292730844789385,-0.00039292730844789385,0.002455795677799642
1781309224.749,5.0905000000000005,0.0009822217856791853,787.3,534.7,0.781908713692946,0.19107413010590008,467.60000000000036,667.9999999999964,14.0,0.8500000000000035,0.0,1438.8000000000002,-0.000589333071407546,-0.0004911108928396799,0.00235733228563001
