et,mid,spread,bidsz5,asksz5,imb1,imb5,tape_sv,tape_vol,tape_cnt,tape_aggr,tape_bigsv,ofi_w,fwd30,fwd60,fwd300
1781374845.741,0.08565,0.001167542323409257,1788880.0,991335.0,-0.009710959653748569,0.28686450508323996,620.0,620.0,6.0,1.0,0.0,16562.0,0.001167542323409095,0.001167542323409095,0.001167542323409095
1781374850.741,0.08565,0.001167542323409257,1788884.0,926335.0,0.46355415043011544,0.31767198152340564,548.0,548.0,5.0,1.0,0.0,66490.0,0.001167542323409095,0.001167542323409095,0.001167542323409095
1781374855.741,0.08565,0.001167542323409257,1788890.0,926269.0,0.46428834130194924,0.3177055192716154,554.0,554.0,5.0,1.0,0.0,65560.0,0.001167542323409095,0.001167542323409095,0.001167542323409095
1781374860.741,0.08565,0.001167542323409257,1598244.0,926177.0,0.46527992462718426,0.2662261960267325,581.0,581.0,4.0,1.0,0.0,65762.0,0.001167542323409095,0.001167542323409095,0.001167542323409095
1781374865.741,0.08574999999999999,0.0011661807580175263,1181754.0,1228381.0,-0.5225100695110417,-0.01934621919519031,581.0,581.0,4.0,1.0,0.0,-57142.0,0.0,0.0,0.0
1781374870.741,0.08574999999999999,0.0011661807580175263,1176771.0,1228381.0,-0.5480187616629961,-0.02145810327164354,-4752.0,5214.0,5.0,0.04430379746835443,-3884.0,-127650.0,0.0,0.0,0.0
1781374875.741,0.08574999999999999,0.0011661807580175263,1196771.0,1228381.0,-0.45047965597088985,-0.01303423455519489,-4825.0,5141.0,4.0,0.03073332036568761,-3884.0,-42723.0,0.0,0.0,0.0
1781374880.741,0.08574999999999999,0.0011661807580175263,1131566.0,1228381.0,-0.8254787676935886,-0.04102422639152489,-5030.0,5346.0,5.0,0.02955480733258511,-3884.0,-172928.0,0.0,0.0,0.0
1781374885.741,0.08574999999999999,0.0011661807580175263,1161301.0,1228381.0,-0.6329567823511678,-0.02807068053406269,-5361.0,5545.0,5.0,0.016591523895401264,-3884.0,-143265.0,0.0,0.0,0.000583090379008844
1781374890.741,0.08574999999999999,0.0011661807580175263,1196301.0,1228381.0,-0.4526305825931944,-0.013230600961280696,-5453.0,5453.0,4.0,0.0,-3884.0,-108357.0,0.0,0.0,0.0
1781374895.741,0.08574999999999999,0.0011661807580175263,1206839.0,1241490.0,-0.4287534645558322,-0.014152918173987238,-5672.0,5672.0,5.0,0.0,-3884.0,11976.0,0.0,0.0,0.0
1781374900.741,0.08574999999999999,0.0011661807580175263,1206839.0,1241490.0,-0.4287534645558322,-0.014152918173987238,-689.0,689.0,3.0,0.0,0.0,16959.0,0.0,0.0,0.0
1781374905.741,0.08574999999999999,0.0011661807580175263,1206785.0,1241490.0,-0.42898002572400146,-0.014175286681438972,-743.0,743.0,4.0,0.0,0.0,-3095.0,0.0,0.0,0.0
1781374910.741,0.08574999999999999,0.0011661807580175263,1208241.0,1226490.0,-0.39937604197312937,-0.007495283873249242,-538.0,538.0,3.0,0.0,0.0,77876.0,0.0,0.0,0.0
1781374915.741,0.08574999999999999,0.0011661807580175263,1207622.0,1226490.0,-0.401716071039074,-0.0077514921252596425,-898.0,898.0,3.0,0.0,0.0,47696.0,0.0,0.0,0.0
1781374920.741,0.08574999999999999,0.0011661807580175263,1207587.0,1241490.0,-0.4282181416604988,-0.013843174387738728,-933.0,933.0,4.0,0.0,0.0,-2339.0,0.0,0.0,0.0
1781374925.741,0.08574999999999999,0.0011661807580175263,1203370.0,1226490.0,-0.4142464684256658,-0.009514951478686015,-3014.0,3014.0,4.0,0.0,0.0,12281.0,0.0,0.0,0.0
1781374930.741,0.08574999999999999,0.0011661807580175263,1202636.0,1260405.0,-0.4729563493178001,-0.02345433957453408,-3459.0,3459.0,5.0,0.0,0.0,-22368.0,0.0,0.0,0.0
1781374935.741,0.08574999999999999,0.0011661807580175263,1203953.0,1236422.0,-0.4503716479816024,-0.01330492239922143,-3545.0,3545.0,5.0,0.0,0.0,-7454.0,0.0,0.0,0.0
1781374940.741,0.08574999999999999,0.0011661807580175263,1203873.0,1236422.0,-0.45071207684679343,-0.013338141495188081,-3625.0,3625.0,6.0,0.0,0.0,-23300.0,0.0,0.0,0.0
1781374945.741,0.08574999999999999,0.0011661807580175263,1203413.0,1236422.0,-0.45267264832213977,-0.013529193572516173,-3460.0,3460.0,6.0,0.0,0.0,-23315.0,0.0,0.0,0.0
1781374950.741,0.08574999999999999,0.0011661807580175263,1203413.0,1236422.0,-0.45267264832213977,-0.013529193572516173,-3425.0,3425.0,5.0,0.0,0.0,-8280.0,0.0,0.0,0.0
1781374955.741,0.08574999999999999,0.0011661807580175263,1201628.0,1251422.0,-0.47713817364510513,-0.020298811683414526,-1453.0,1453.0,5.0,0.0,0.0,-35657.0,0.0,0.0,0.0
1781374960.741,0.08574999999999999,0.0011661807580175263,1149345.0,1251422.0,-0.6026916682964991,-0.042518495130931075,-1008.0,1008.0,4.0,0.0,0.0,-28822.0,0.0,0.0,0.0
1781374965.741,0.08574999999999999,0.0011661807580175263,1367121.0,1251422.0,-0.46898738431891007,0.04418449496532996,-868.0,868.0,3.0,0.0,0.0,-13898.0,0.0,0.0,0.0
1781374970.741,0.08574999999999999,0.0011661807580175263,1096070.0,1251422.0,-0.6026916682964991,-0.06617786130900552,-788.0,788.0,2.0,0.0,0.0,-43602.0,0.0,0.0,0.0
1781374975.741,0.08574999999999999,0.0011661807580175263,1096070.0,1251422.0,-0.6026916682964991,-0.06617786130900552,-328.0,328.0,1.0,0.0,0.0,-43142.0,0.0,0.0,0.0
1781374980.741,0.08574999999999999,0.0011661807580175263,1287203.0,1251422.0,-0.4312865018285028,0.014094637845290265,-328.0,328.0,1.0,0.0,0.0,-3954.0,0.0,0.0,0.0
1781374985.741,0.08574999999999999,0.0011661807580175263,1053984.0,1251422.0,-0.5824392010138193,-0.08564131437152502,0.0,0.0,0.0,0.5,0.0,-23626.0,0.0,0.0,0.0
1781374990.741,0.08574999999999999,0.0011661807580175263,1023984.0,1251422.0,-0.739937628558158,-0.0999549091458843,0.0,0.0,0.0,0.5,0.0,-25812.0,0.0,0.0,0.0
1781374995.741,0.08574999999999999,0.0011661807580175263,1088984.0,1251422.0,-0.4312865018285028,-0.06940590649656513,0.0,0.0,0.0,0.5,0.0,9404.0,0.0,0.0,0.0
1781375000.741,0.08574999999999999,0.0011661807580175263,1058984.0,1251422.0,-0.5589203971226443,-0.08329185433209574,0.0,0.0,0.0,0.5,0.0,9188.0,0.0,0.0,0.001166180758017688
1781375005.741,0.08574999999999999,0.0011661807580175263,1088984.0,1251422.0,-0.4312865018285028,-0.06940590649656513,0.0,0.0,0.0,0.5,0.0,39188.0,0.0,0.0,0.000583090379008844
1781375015.741,0.08574999999999999,0.0011661807580175263,988615.0,1251422.0,-0.5589203971226443,-0.11732261565322359,0.0,0.0,0.0,0.5,0.0,5000.0,0.0,0.0,0.000583090379008844
1781375020.741,0.08574999999999999,0.0011661807580175263,988615.0,1251422.0,-0.5589203971226443,-0.11732261565322359,0.0,0.0,0.0,0.5,0.0,35000.0,0.0,0.0,0.001166180758017688
1781375025.741,0.08574999999999999,0.0011661807580175263,1018615.0,1251422.0,-0.4312865018285028,-0.10255647815432083,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.001166180758017688
1781375030.741,0.08574999999999999,0.0011661807580175263,988615.0,1251422.0,-0.5589203971226443,-0.11732261565322359,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.001166180758017688
1781375035.741,0.08574999999999999,0.0011661807580175263,988615.0,1251422.0,-0.5589203971226443,-0.11732261565322359,0.0,0.0,0.0,0.5,0.0,-30000.0,0.0,0.0,0.001166180758017688
1781375045.741,0.08574999999999999,0.0011661807580175263,936820.0,1236422.0,-0.4070115531273121,-0.1378594744625771,0.0,0.0,0.0,0.5,0.0,45000.0,0.0,0.0,0.0
1781375050.741,0.08574999999999999,0.0011661807580175263,936837.0,1236422.0,-0.4070115531273121,-0.13785057372361048,0.0,0.0,0.0,0.5,0.0,45000.0,0.0,0.0,0.0
1781375055.741,0.08574999999999999,0.0011661807580175263,936837.0,1236422.0,-0.4070115531273121,-0.13785057372361048,0.0,0.0,0.0,0.5,0.0,15000.0,0.0,0.0,0.0
1781375060.741,0.08574999999999999,0.0011661807580175263,936837.0,1236422.0,-0.4070115531273121,-0.13785057372361048,0.0,0.0,0.0,0.5,0.0,45000.0,0.0,0.0,0.0
1781375065.741,0.08574999999999999,0.0011661807580175263,936837.0,1236422.0,-0.4070115531273121,-0.13785057372361048,0.0,0.0,0.0,0.5,0.0,45000.0,0.0,0.0,0.0
1781375070.741,0.08574999999999999,0.0011661807580175263,936837.0,1236422.0,-0.4070115531273121,-0.13785057372361048,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1781375075.741,0.08574999999999999,0.0011661807580175263,936837.0,1251422.0,-0.4312865018285028,-0.14376040496120432,0.0,0.0,0.0,0.5,0.0,-15000.0,0.0,0.0,0.0
1781375080.741,0.08574999999999999,0.0011661807580175263,936837.0,1251422.0,-0.4312865018285028,-0.14376040496120432,0.0,0.0,0.0,0.5,0.0,-15000.0,0.0,0.0,0.0
1781375085.741,0.08574999999999999,0.0011661807580175263,935380.0,1251422.0,-0.4312865018285028,-0.14452245790885504,0.0,0.0,0.0,0.5,0.0,-15000.0,0.0,0.0,0.0
1781375090.741,0.08574999999999999,0.0011661807580175263,935380.0,1251422.0,-0.4312865018285028,-0.14452245790885504,0.0,0.0,0.0,0.5,0.0,-15000.0,0.0,0.0,0.0
1781375095.741,0.08574999999999999,0.0011661807580175263,935380.0,1251422.0,-0.4312865018285028,-0.14452245790885504,0.0,0.0,0.0,0.5,0.0,-15000.0,0.0,0.0,0.0
1781375100.741,0.08574999999999999,0.0011661807580175263,996852.0,1251422.0,-0.5589203971226443,-0.11322908150874848,0.0,0.0,0.0,0.5,0.0,-45000.0,0.0,0.0,0.0
1781375105.741,0.08574999999999999,0.0011661807580175263,1029075.0,1236422.0,-0.40365669352181177,-0.09152384664380486,0.0,0.0,0.0,0.5,0.0,15940.0,0.0,0.0,0.0
1781375110.741,0.08574999999999999,0.0011661807580175263,1029075.0,1236422.0,-0.40365669352181177,-0.09152384664380486,0.0,0.0,0.0,0.5,0.0,15940.0,0.0,0.0,0.0
1781375115.741,0.08574999999999999,0.0011661807580175263,1029075.0,1236422.0,-0.40365669352181177,-0.09152384664380486,0.0,0.0,0.0,0.5,0.0,15940.0,0.0,0.0,0.0
1781375120.741,0.08574999999999999,0.0011661807580175263,878710.0,1236422.0,-0.40365669352181177,-0.16912041423419436,0.0,0.0,0.0,0.5,0.0,15940.0,0.0,0.0,0.0
1781375125.741,0.08574999999999999,0.0011661807580175263,1537836.0,1251422.0,-0.4312865018285028,0.10268465663628104,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.000583090379008844,0.0
1781375130.741,0.08574999999999999,0.0011661807580175263,1537836.0,1251422.0,-0.4312865018285028,0.10268465663628104,0.0,0.0,0.0,0.5,0.0,30000.0,0.0,0.0,0.0
1781375135.741,0.08574999999999999,0.0011661807580175263,1540059.0,1251422.0,-0.42830064327071293,0.10339923502972079,0.0,0.0,0.0,0.5,0.0,-15174.0,0.0,0.0,0.0
1781375140.741,0.08574999999999999,0.0011661807580175263,1540059.0,1236422.0,-0.40365669352181177,0.10936037379690335,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1781375145.741,0.08574999999999999,0.0011661807580175263,1539974.0,1236201.0,-0.40365669352181177,0.10942141615712266,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1781375150.741,0.08574999999999999,0.0011661807580175263,1539974.0,1236201.0,-0.40365669352181177,0.10942141615712266,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1781375155.741,0.08574999999999999,0.0011661807580175263,1539974.0,1236201.0,-0.40365669352181177,0.10942141615712266,0.0,0.0,0.0,0.5,0.0,15940.0,0.000583090379008844,0.0,0.0
1781375160.741,0.08574999999999999,0.0011661807580175263,1668598.0,1236201.0,-0.40365669352181177,0.14885608264117414,0.0,0.0,0.0,0.5,0.0,15940.0,0.0,0.0,0.0
1781375165.741,0.08574999999999999,0.0011661807580175263,1553287.0,1086173.0,0.03929024081115336,0.17697332030036447,0.0,0.0,0.0,0.5,0.0,165202.0,0.0,0.0,0.0
1781375170.741,0.08574999999999999,0.0011661807580175263,1553304.0,1086394.0,0.03929024081115336,0.17688008249428533,0.0,0.0,0.0,0.5,0.0,150028.0,0.0,0.0,0.0
1781375175.741,0.08574999999999999,0.0011661807580175263,1553304.0,1019998.0,0.5324417450213164,0.2072457877077778,0.0,0.0,0.0,0.5,0.0,215028.0,0.0,0.0,0.0
1781375180.741,0.08574999999999999,0.0011661807580175263,1553304.0,1556667.0,0.20892497264927737,-0.0010813605657416098,28331.0,28331.0,2.0,1.0,28331.0,178376.0,0.0,0.0,0.0
1781375185.741,0.0858,0.002331002331002398,1155888.0,1592457.0,-0.556764513673204,-0.15884796122757514,28331.0,28331.0,2.0,1.0,28331.0,142881.0,-0.0005827505827506803,-0.0005827505827506803,-0.0005827505827506803
1781375190.741,0.08574999999999999,0.0011661807580175263,1285966.0,1751363.0,-0.019900999130981704,-0.15322574538352612,28331.0,28331.0,2.0,1.0,28331.0,72947.0,0.0,0.0,0.0
1781375195.741,0.08574999999999999,0.0011661807580175263,1285966.0,1745643.0,0.007775435547810289,-0.1516280628537519,34051.0,34051.0,3.0,1.0,34051.0,-71361.0,0.0,0.0,0.0
1781375200.741,0.08574999999999999,0.0011661807580175263,1285966.0,1745543.0,0.008273198294980268,-0.15160007771707093,34151.0,34151.0,4.0,1.0,34051.0,-71261.0,0.0,0.0,0.0
1781375205.741,0.08574999999999999,0.0011661807580175263,1284509.0,1744793.0,0.012022150502451527,-0.1519439131522707,34901.0,34901.0,5.0,1.0,34051.0,-135511.0,0.0,0.0,0.001166180758017688
1781375210.741,0.08574999999999999,0.0011661807580175263,1283743.0,1733778.0,0.06575348230442284,-0.14914063564097815,17585.0,17585.0,4.0,1.0,16735.0,-88784.0,0.0,0.0,0.0
1781375215.741,0.08574999999999999,0.0011661807580175263,1283743.0,1728960.0,0.09346631693705947,-0.1477799172371123,22403.0,22403.0,6.0,1.0,16735.0,-48471.0,0.0,0.0,0.0
1781375220.741,0.08574999999999999,0.0011661807580175263,1283743.0,1742235.0,0.020361500999692788,-0.15151861646052944,23103.0,23103.0,7.0,1.0,16735.0,8188.0,0.0,0.0,0.0
1781375225.741,0.08574999999999999,0.0011661807580175263,1283743.0,1742235.0,0.020361500999692788,-0.15151861646052944,17383.0,17383.0,6.0,1.0,11015.0,2468.0,0.0,0.0,0.0
1781375230.741,0.08574999999999999,0.0011661807580175263,1283743.0,1739635.0,0.033899602471920434,-0.15078895196035694,19883.0,19883.0,6.0,1.0,11015.0,4968.0,0.0,0.0,0.000583090379008844
1781375235.741,0.08574999999999999,0.0011661807580175263,1283743.0,1737690.0,-0.43672606967110567,-0.15024228569688622,19133.0,19133.0,5.0,1.0,11015.0,-159511.0,0.0,0.0,0.0
1781375240.741,0.08574999999999999,0.0011661807580175263,1285200.0,1735636.0,0.0394692962429006,-0.14910971664797426,9168.0,9168.0,5.0,1.0,0.0,-4807.0,0.0,0.001166180758017688,0.0
1781375245.741,0.08574999999999999,0.0011661807580175263,1285200.0,1733152.0,0.05288758854006974,-0.148409463177257,6834.0,6834.0,4.0,1.0,0.0,-7141.0,0.0,0.000583090379008844,0.0
1781375250.741,0.08574999999999999,0.0011661807580175263,1380191.0,1747165.0,-0.018581670218949815,-0.11734321260515272,6424.0,6424.0,4.0,1.0,0.0,-7879.0,0.0,0.0,0.0
1781375255.741,0.08574999999999999,0.0011661807580175263,1378734.0,1746553.0,-0.015663563752259167,-0.1176912712336499,7036.0,7036.0,6.0,1.0,0.0,-7267.0,0.0,0.000583090379008844,0.0
1781375260.741,0.08574999999999999,0.0011661807580175263,1378734.0,1746553.0,-0.015663563752259167,-0.1176912712336499,4436.0,4436.0,5.0,1.0,0.0,-9867.0,0.0,0.001166180758017688,0.0
1781375265.741,0.08574999999999999,0.0011661807580175263,1380191.0,1746508.0,-0.015448312056875446,-0.11715774367791719,4481.0,4481.0,6.0,1.0,0.0,153907.0,0.0,0.001166180758017688,0.0
1781375270.741,0.08574999999999999,0.0011661807580175263,1380191.0,1746425.0,-0.015051045211473019,-0.11713430750690203,3514.0,3514.0,6.0,1.0,0.0,-10789.0,0.001166180758017688,0.001166180758017688,0.0
1781375275.741,0.08574999999999999,0.0011661807580175263,1380957.0,1744925.0,-0.003203250126958084,-0.116436896850233,2530.0,2530.0,6.0,1.0,0.0,-10833.0,0.000583090379008844,0.001166180758017688,0.0
1781375280.741,0.08574999999999999,0.0011661807580175263,1380957.0,1744925.0,-0.003203250126958084,-0.116436896850233,2240.0,2240.0,5.0,1.0,0.0,3180.0,0.0,0.001166180758017688,0.0
1781375285.741,0.08574999999999999,0.0011661807580175263,1380957.0,1744010.0,0.0012703738038130834,-0.11617818684165304,2543.0,2543.0,4.0,1.0,0.0,3483.0,0.000583090379008844,0.0,0.0
1781375290.741,0.08574999999999999,0.0011661807580175263,1380208.0,1742410.0,0.005507919495057759,-0.11599305454589706,4143.0,4143.0,5.0,1.0,0.0,4334.0,0.001166180758017688,0.0,0.0
