sym,mech,t,side,gross,net,net_feeonly,bars,why,tp_pct,sl_pct,truncated,slice,seen_sym
XRP,F_pw_failed_breakout,2026-07-29 06:00:00+00:00,1,-0.02072777521879315,-0.02342777521879315,-0.02192777521879315,864,TIME,3.459235375403058,4.142766892486193,False,OOS_0706_0803,True
ZAMA,C1_pw_tp0.5,2026-06-17 06:00:00+00:00,1,-0.03973885496982306,-0.04193260496982306,-0.04093885496982306,378,SL,6.736872475476064,3.973885496982306,False,OVERLAP_0601_0705,False
ZAMA,C1_pw_tp0.5,2026-07-06 21:00:00+00:00,1,-0.028437398715568715,-0.030340523715568713,-0.029637398715568714,99,SL,4.972771567784487,2.8437398715568714,False,OOS_0706_0803,False
ZAMA,C1_pw_tp0.5,2026-07-17 12:00:00+00:00,1,-0.01715937417781702,-0.01899895751115035,-0.01835937417781702,38,SL,4.358830146231728,1.715937417781702,False,OOS_0706_0803,False
ZAMA,C1_pw_tp0.5,2026-07-20 08:00:00+00:00,1,0.03747640873550829,0.035640992068841616,0.03627640873550829,34,TP,3.747640873550829,3.405033079787908,False,OOS_0706_0803,False
ZAMA,C2_pw_tp0.25,2026-06-17 06:00:00+00:00,1,0.023874783612233174,0.022027908612233176,0.022674783612233174,45,TP,2.3874783612233172,3.973885496982306,False,OVERLAP_0601_0705,False
ZAMA,C2_pw_tp0.25,2026-07-06 21:00:00+00:00,1,-0.028437398715568715,-0.030340523715568713,-0.029637398715568714,99,SL,1.7985096016050732,2.8437398715568714,False,OOS_0706_0803,False
ZAMA,C2_pw_tp0.25,2026-07-17 12:00:00+00:00,1,-0.01715937417781702,-0.01899895751115035,-0.01835937417781702,38,SL,1.8982002249718841,1.715937417781702,False,OOS_0706_0803,False
ZAMA,C2_pw_tp0.25,2026-07-20 08:00:00+00:00,1,0.0075492046373686296,0.0057481629707019635,0.00634920463736863,1,TP,0.754920463736863,3.405033079787908,False,OOS_0706_0803,False
ZAMA,F_pw_failed_breakout,2026-06-17 22:00:00+00:00,-1,-0.01952085181898849,-0.02222085181898849,-0.02072085181898849,864,TIME,8.414670215912452,10.006667008622241,False,OVERLAP_0601_0705,False
ZAMA,F_pw_failed_breakout,2026-07-07 03:00:00+00:00,-1,0.054478707782672414,0.05206620778267241,0.053278707782672415,588,TP,5.447870778267242,4.624089691595297,False,OOS_0706_0803,False
ZAMA,F_pw_failed_breakout,2026-07-17 14:00:00+00:00,-1,-0.021133021308598125,-0.02357156297526479,-0.022333021308598124,613,SL,4.895302773061692,2.1133021308598123,False,OOS_0706_0803,False
ZEC,C1_pw_tp0.5,2026-06-15 04:00:00+00:00,1,0.07463531057753656,0.07274468557753655,0.07343531057753655,87,TP,7.463531057753656,2.88612912003558,False,OVERLAP_0601_0705,True
