ts,open,high,low,close,volume
1749837600000,105336.0,105422.4,104624.0,105147.1,80.183
1749841200000,105147.1,105376.9,104858.9,105065.9,62.434
1749844800000,105065.9,105465.7,104963.1,105371.5,74.78
1749848400000,105382.0,105744.2,105245.6,105550.1,105.556
1749852000000,105550.1,105800.1,105473.7,105694.0,79.682
1749855600000,105694.0,106138.7,105693.9,106032.7,54.92
1749859200000,106032.6,106182.6,105642.9,105739.8,147.375
1749862800000,105739.7,105739.7,105379.8,105415.7,61.052
1749866400000,105415.6,105556.8,105263.1,105317.5,26.816
1749870000000,105317.5,105389.6,105132.3,105177.0,22.14
1749873600000,105177.0,105346.2,105166.0,105328.1,25.539
1749877200000,105328.2,105333.2,105216.9,105257.0,13.936
1749880800000,105257.0,105350.2,105064.0,105064.1,52.574
1749884400000,105059.3,105093.2,104733.0,105034.1,63.45
1749888000000,105034.0,105086.7,104818.5,105043.3,19.275
1749891600000,105048.9,105055.0,104802.5,104815.1,51.605
1749895200000,104840.6,105060.0,104782.8,104957.7,20.697
1749898800000,104953.3,105050.0,104895.2,105049.9,21.678
1749902400000,105049.9,105049.9,104683.4,104991.8,38.72
1749906000000,104991.8,105078.1,104848.7,104969.5,29.118
1749909600000,104969.5,105017.6,104793.9,104850.4,16.508
1749913200000,104850.3,104924.9,104570.8,104779.5,52.081
1749916800000,104779.6,104837.6,104330.3,104405.5,153.326
1749920400000,104405.5,104665.7,104350.0,104544.1,59.673
1749924000000,104547.0,104920.0,104292.5,104839.7,88.543
1749927600000,104839.8,105002.5,104614.4,104614.4,95.286
1749931200000,104614.5,104939.1,104250.4,104829.6,133.895
1749934800000,104829.5,105419.0,104809.5,105263.0,147.818
1749938400000,105263.0,105437.8,105242.2,105379.0,109.35
1749942000000,105383.8,105435.8,105291.9,105359.6,48.466
1749945600000,105359.5,105601.6,105222.2,105601.6,68.167
1749949200000,105601.5,105617.3,105347.2,105359.0,59.062
1749952800000,105355.7,105608.3,105355.7,105430.1,40.795
1749956400000,105431.6,105507.7,105430.0,105432.2,33.368
1749960000000,105432.2,105515.1,105432.1,105511.0,15.851
1749963600000,105510.9,106049.9,105451.0,106040.3,57.4
1749967200000,106035.0,106078.7,105366.2,105397.2,80.047
1749970800000,105397.2,105401.5,105137.0,105393.6,58.21
1749974400000,105393.5,105430.7,105104.6,105160.9,22.014
1749978000000,105160.9,105161.0,104816.0,104885.4,31.721
1749981600000,104885.4,105144.4,104885.4,105067.6,26.417
1749985200000,105072.1,105100.5,104876.1,104927.1,14.725
1749988800000,104927.9,105242.2,104905.3,105242.2,20.704
1749992400000,105234.7,105600.0,105181.7,105464.0,82.465
1749996000000,105464.1,105780.0,105268.5,105619.9,93.857
1749999600000,105619.9,105750.7,105481.7,105525.3,82.639
1750003200000,105525.2,105636.5,105291.4,105509.7,43.913
1750006800000,105509.8,105725.0,105439.4,105640.0,25.129
1750010400000,105640.0,105640.1,105424.7,105446.7,18.387
1750014000000,105446.7,105532.2,105023.2,105240.0,45.884
1750017600000,105242.1,105242.2,104548.7,104675.0,58.157
1750021200000,104674.9,104771.9,104426.7,104741.6,65.777
1750024800000,104735.6,105323.5,104691.7,105208.6,44.959
1750028400000,105220.0,105568.2,105166.5,105537.3,30.764
1750032000000,105537.4,105724.9,105313.3,105371.1,38.608
1750035600000,105371.0,105846.5,104920.5,105758.4,71.304
1750039200000,105758.4,105903.2,105639.9,105738.7,85.899
1750042800000,105738.7,105911.0,105671.0,105877.9,21.169
1750046400000,105877.9,106348.3,105816.5,106338.2,75.873
1750050000000,106338.1,106735.7,106265.0,106515.0,72.782
1750053600000,106515.1,106712.0,106461.9,106545.8,37.218
1750057200000,106545.8,107220.8,106545.6,107008.8,87.078
1750060800000,107008.8,107187.5,106905.3,107124.4,34.944
1750064400000,107130.2,107178.6,106856.6,106901.9,23.845
1750068000000,106910.1,107166.3,106687.1,106771.0,27.424
1750071600000,106771.0,106921.1,106540.0,106849.9,54.204
1750075200000,106850.0,106850.0,106561.0,106655.0,32.324
1750078800000,106646.8,107111.6,106449.6,107111.4,77.532
1750082400000,107111.4,107717.3,106726.2,107476.5,282.355
1750086000000,107480.4,107659.8,107260.2,107373.4,66.18
1750089600000,107373.4,107843.5,107260.0,107711.9,63.346
1750093200000,107711.8,107966.0,107547.4,107678.5,109.01
1750096800000,107678.5,108230.8,107609.8,108220.2,118.119
1750100400000,108220.3,108820.0,108220.2,108571.0,318.874
1750104000000,108571.1,108790.2,108386.8,108734.6,138.61
1750107600000,108745.5,108773.2,108238.3,108469.0,73.257
1750111200000,108468.9,108931.9,107368.2,107645.8,191.705
1750114800000,107638.7,107895.4,106640.0,106730.2,113.635
1750118400000,106730.2,107209.8,106056.8,107209.1,169.787
1750122000000,107209.2,107348.3,106890.4,107127.4,76.972
1750125600000,107133.3,107577.4,106530.2,107442.4,118.003
1750129200000,107442.4,107719.4,107333.4,107532.9,138.031
1750132800000,107539.7,107638.1,107254.1,107290.0,44.972
1750136400000,107290.0,107355.4,107000.0,107082.6,42.639
1750140000000,107082.4,107189.1,106684.7,106774.6,49.0
1750143600000,106774.5,106829.9,106426.5,106727.0,53.371
1750147200000,106727.1,106763.6,106440.0,106521.1,26.051
1750150800000,106521.1,106593.4,106033.7,106124.2,87.47
1750154400000,106124.2,106172.8,105632.5,105891.4,96.465
1750158000000,105891.5,105891.5,105457.0,105600.0,50.943
1750161600000,105600.1,105816.3,105385.8,105465.0,65.934
1750165200000,105457.8,105697.6,105141.3,105293.9,99.94
1750168800000,105294.1,105657.9,104735.6,104799.1,119.377
1750172400000,104799.1,104919.8,104101.3,104202.1,198.489
1750176000000,104202.1,104435.5,103454.0,103567.4,174.462
1750179600000,103567.4,104193.9,103314.8,103773.6,161.742
1750183200000,103771.0,104415.8,103588.2,104409.6,151.186
1750186800000,104409.6,105298.0,104409.6,104629.7,248.93
1750190400000,104618.8,104806.0,104201.2,104308.4,108.504
1750194000000,104308.3,104777.7,104203.9,104505.8,82.546
1750197600000,104505.8,104668.9,104152.8,104175.1,41.81
1750201200000,104175.1,104687.9,104171.8,104505.9,66.868
1750204800000,104510.4,104789.8,104355.5,104788.1,27.415
1750208400000,104788.1,105135.9,104630.2,104722.3,41.302
1750212000000,104727.8,105034.0,104640.9,104818.7,16.913
1750215600000,104818.5,105194.4,104800.2,105139.3,25.51
1750219200000,105136.0,105444.0,105022.6,105405.9,35.947
