timestamp,open,high,low,close,volume
2026-05-20 05:05:00+00:00,258.13,259.01,258.12,258.89,79.86
2026-05-20 05:10:00+00:00,258.82,259.5,258.68,259.5,140.57
2026-05-20 05:15:00+00:00,259.62,259.91,259.19,259.91,109.5
2026-05-20 05:20:00+00:00,259.92,260.04,259.41,259.59,155.25
2026-05-20 05:25:00+00:00,259.58,259.85,259.52,259.73,54.38
2026-05-20 05:30:00+00:00,260.06,260.85,260.06,260.68,173.76
2026-05-20 05:35:00+00:00,260.71,261.07,260.66,261.06,74.29
2026-05-20 05:40:00+00:00,261.14,261.23,260.79,260.79,95.97
2026-05-20 05:45:00+00:00,260.78,261.03,260.66,261.03,87.22
2026-05-20 05:50:00+00:00,261.07,261.24,260.68,261.17,93.99
2026-05-20 05:55:00+00:00,261.24,261.27,260.91,261.08,46.61
2026-05-20 06:00:00+00:00,261.09,261.27,260.79,260.89,143.6
2026-05-20 06:05:00+00:00,260.94,260.98,260.58,260.74,87.45
2026-05-20 06:10:00+00:00,260.74,260.95,260.61,260.9,63.39
2026-05-20 06:15:00+00:00,260.97,261.12,260.54,260.54,88.44
2026-05-20 06:20:00+00:00,260.41,260.41,259.78,260.37,123.27
2026-05-20 06:25:00+00:00,260.21,260.21,259.71,259.74,108.14
2026-05-20 06:30:00+00:00,259.82,260.2,259.5,259.5,110.95
2026-05-20 06:35:00+00:00,259.18,259.18,258.79,258.97,143.6
2026-05-20 06:40:00+00:00,258.93,259.17,258.53,258.97,197.85
2026-05-20 06:45:00+00:00,259.07,260.85,258.92,260.72,109.64
2026-05-20 06:50:00+00:00,260.69,261.34,260.6,261.24,158.85
2026-05-20 06:55:00+00:00,261.26,261.44,261.05,261.24,113.7
2026-05-20 07:00:00+00:00,261.26,261.29,260.94,261.17,98.59
2026-05-20 07:05:00+00:00,261.13,261.32,261.05,261.24,47.53
2026-05-20 07:10:00+00:00,261.23,262.28,261.11,261.73,192.98
2026-05-20 07:15:00+00:00,261.69,262.24,261.65,262.06,382.31
2026-05-20 07:20:00+00:00,262.06,262.9,262.03,262.79,172.17
2026-05-20 07:25:00+00:00,262.76,262.83,262.51,262.65,103.63
2026-05-20 07:30:00+00:00,262.63,262.64,261.89,262.04,220.7
2026-05-20 07:35:00+00:00,262.02,262.16,261.77,262.1,200.27
2026-05-20 07:40:00+00:00,262.08,262.27,261.61,261.8,57.22
2026-05-20 07:45:00+00:00,261.66,261.73,260.93,260.94,154.5
2026-05-20 07:50:00+00:00,260.92,260.94,260.51,260.93,53.08
2026-05-20 07:55:00+00:00,261.0,261.26,260.86,261.13,65.74
2026-05-20 08:00:00+00:00,261.17,262.14,261.13,261.97,92.01
2026-05-20 08:05:00+00:00,261.89,262.3,261.54,261.54,117.81
2026-05-20 08:10:00+00:00,261.51,262.06,261.34,262.02,52.84
2026-05-20 08:15:00+00:00,261.94,262.03,261.1,261.29,66.99
2026-05-20 08:20:00+00:00,261.27,261.63,260.9,261.63,37.17
2026-05-20 08:25:00+00:00,261.84,261.85,261.66,261.67,36.67
2026-05-20 08:30:00+00:00,261.94,262.34,261.79,262.11,44.13
2026-05-20 08:35:00+00:00,262.12,263.11,262.12,263.05,114.91
2026-05-20 08:40:00+00:00,262.74,263.29,262.56,263.29,112.89
2026-05-20 08:45:00+00:00,263.12,263.12,262.59,262.66,74.22
2026-05-20 08:50:00+00:00,262.7,262.83,262.31,262.38,32.48
2026-05-20 08:55:00+00:00,262.4,262.4,261.89,262.15,30.68
2026-05-20 09:00:00+00:00,262.04,262.27,261.74,262.15,91.07
2026-05-20 09:05:00+00:00,262.02,262.02,261.37,261.37,55.77
2026-05-20 09:10:00+00:00,261.37,261.7,261.34,261.63,35.98
2026-05-20 09:15:00+00:00,261.65,261.67,261.0,261.4,88.79
2026-05-20 09:20:00+00:00,261.61,262.08,261.53,262.05,84.87
2026-05-20 09:25:00+00:00,261.95,262.4,261.95,262.35,43.81
2026-05-20 09:30:00+00:00,262.36,262.62,262.2,262.21,53.77
2026-05-20 09:35:00+00:00,262.19,262.19,261.91,262.03,58.66
2026-05-20 09:40:00+00:00,261.98,262.18,261.69,262.02,84.75
2026-05-20 09:45:00+00:00,262.02,262.47,261.98,262.22,61.29
2026-05-20 09:50:00+00:00,262.28,262.29,261.93,261.97,130.09
2026-05-20 09:55:00+00:00,261.96,262.39,261.96,262.24,73.31
2026-05-20 10:00:00+00:00,262.18,262.36,261.99,262.0,61.59
2026-05-20 10:05:00+00:00,261.98,262.28,261.81,261.98,47.43
2026-05-20 10:10:00+00:00,261.88,262.23,261.88,262.23,32.54
2026-05-20 10:15:00+00:00,262.19,262.3,262.03,262.19,68.13
2026-05-20 10:20:00+00:00,262.08,262.75,262.05,262.43,60.15
2026-05-20 10:25:00+00:00,262.38,262.43,261.9,262.35,58.79
2026-05-20 10:30:00+00:00,262.97,263.37,262.9,263.37,52.45
2026-05-20 10:35:00+00:00,263.49,264.0,263.01,263.01,170.95
2026-05-20 10:40:00+00:00,263.01,263.01,262.7,262.91,105.07
2026-05-20 10:45:00+00:00,262.9,263.05,262.55,262.75,53.75
2026-05-20 10:50:00+00:00,262.75,263.57,262.64,263.56,89.96
2026-05-20 10:55:00+00:00,263.47,263.55,263.16,263.16,83.88
2026-05-20 11:00:00+00:00,263.16,263.57,262.85,263.08,154.36
2026-05-20 11:05:00+00:00,263.16,263.74,263.16,263.65,60.76
2026-05-20 11:10:00+00:00,263.62,263.93,263.04,263.04,133.92
2026-05-20 11:15:00+00:00,263.2,263.34,262.68,262.68,112.17
2026-05-20 11:20:00+00:00,262.78,263.12,262.77,262.83,48.35
2026-05-20 11:25:00+00:00,262.7,262.81,262.46,262.55,41.73
2026-05-20 11:30:00+00:00,262.63,262.89,262.36,262.87,57.31
2026-05-20 11:35:00+00:00,262.86,263.39,262.82,263.29,108.42
2026-05-20 11:40:00+00:00,263.32,263.32,262.55,262.67,76.17
2026-05-20 11:45:00+00:00,262.62,263.03,261.98,261.98,82.55
2026-05-20 11:50:00+00:00,262.12,262.12,261.43,261.83,174.49
2026-05-20 11:55:00+00:00,261.83,262.26,261.78,262.26,80.25
