A,B,n_overlap,train_adf_p,beta,train_start,test_start,test_end
SUSHI,ATOM,1605,0.06131894057977737,1.1961413276748687,2022-01-21,2024-04-02,2026-06-13
ETC,XLM,1990,0.06319636154745155,0.3923709810573999,2021-01-01,2023-09-23,2026-06-13
ADA,SUSHI,1605,0.06581667756752417,0.7243102399813093,2022-01-21,2024-04-02,2026-06-13
ETC,ALGO,1619,0.06800208044701524,0.29903322703784735,2022-01-07,2024-03-26,2026-06-13
MANA,ALGO,1619,0.06984988180999253,0.9272283277698725,2022-01-07,2024-03-26,2026-06-13
SOL,ETH,1990,0.07067937275531701,2.072881111632786,2021-01-01,2023-09-23,2026-06-13
MATIC,DOGE,1102,0.07244649278336293,0.937519174909131,2022-01-05,2023-07-10,2025-01-10
FIL,XLM,1822,0.07271527058639228,2.0826285549666146,2021-06-18,2023-12-16,2026-06-13
ATOM,MANA,1620,0.07294802371379978,0.5688361351029952,2022-01-06,2024-03-26,2026-06-13
AVAX,UNI,1669,0.07337390531867007,1.7481153442781616,2021-11-18,2024-03-01,2026-06-13
ADA,CRV,1725,0.07367999474295946,0.7805687923607733,2021-09-23,2024-02-02,2026-06-13
BNB,MATIC,1102,0.07369351688653343,0.4639887672964835,2022-01-05,2023-07-10,2025-01-10
UNI,NEAR,1606,0.0738231608870416,0.30077649114256816,2022-01-20,2024-04-02,2026-06-13
DOT,NEAR,1606,0.07691067151335639,0.5733956447621137,2022-01-20,2024-04-02,2026-06-13
AAVE,CRV,1725,0.08142631822983593,0.6210855107271424,2021-09-23,2024-02-02,2026-06-13
AAVE,MANA,1620,0.0814668420335053,0.4413152240715645,2022-01-06,2024-03-26,2026-06-13
ATOM,BCH,1990,0.08157879256596207,0.41421464789991413,2021-01-01,2023-09-23,2026-06-13
MKR,UNI,1719,0.08229057582554478,0.8388364401324444,2021-01-01,2023-05-10,2025-09-15
UNI,LINK,1612,0.08393587049096568,0.5119225137107097,2022-01-14,2024-03-30,2026-06-13
AVAX,COMP,1669,0.08737485343553392,1.2542433888112205,2021-11-18,2024-03-01,2026-06-13
COMP,LTC,1990,0.08838645645236004,1.8546221867041754,2021-01-01,2023-09-23,2026-06-13
ETC,CRV,1725,0.09041498504475143,0.4228372979581638,2021-09-23,2024-02-02,2026-06-13
ETC,MANA,1620,0.09115464974748239,0.3079650210113855,2022-01-06,2024-03-26,2026-06-13
SAND,CRV,1348,0.09334879252146838,0.6666790535384962,2022-10-05,2024-08-09,2026-06-13
ETC,SOL,1990,0.09587674030769622,0.4337304759358652,2021-01-01,2023-09-23,2026-06-13
FIL,ETH,1822,0.09843355508021201,2.389254185417648,2021-06-18,2023-12-16,2026-06-13
XLM,APE,1549,0.09847623895836172,0.06671782608074145,2022-03-18,2024-04-30,2026-06-13
CRV,ALGO,1619,0.10112190120775516,0.7601956886863268,2022-01-07,2024-03-26,2026-06-13
SAND,APE,1348,0.10362760303789192,0.4109970987307106,2022-10-05,2024-08-09,2026-06-13
COMP,SUSHI,1605,0.10469168214018348,0.62691123981473,2022-01-21,2024-04-02,2026-06-13
MKR,XRP,808,0.10776819118977038,0.1877968566671413,2021-01-01,2024-08-08,2025-09-15
CRV,BNB,1725,0.10951684931683547,2.3717117388109092,2021-09-23,2024-02-02,2026-06-13
COMP,MANA,1620,0.11229644366935576,0.543770249272112,2022-01-06,2024-03-26,2026-06-13
XLM,BTC,1990,0.11283067353572718,1.415210851741188,2021-01-01,2023-09-23,2026-06-13
UNI,CRV,1725,0.11431127657017753,0.5996199658611682,2021-09-23,2024-02-02,2026-06-13
COMP,BCH,1990,0.11501002035445002,1.3117322552914097,2021-01-01,2023-09-23,2026-06-13
AAVE,ALGO,1619,0.1173145791403003,0.3993813727790196,2022-01-07,2024-03-26,2026-06-13
UNI,ADA,1990,0.11971170681442611,0.8501443423596011,2021-01-01,2023-09-23,2026-06-13
CRV,LINK,1612,0.12133658409937109,0.3986112720941889,2022-01-14,2024-03-30,2026-06-13
ETC,BNB,1990,0.12261647569384965,0.860962350759147,2021-01-01,2023-09-23,2026-06-13
LTC,DOGE,1990,0.12298221733184916,0.3308888805424775,2021-01-01,2023-09-23,2026-06-13
MKR,LINK,1341,0.12408356396940806,0.9696016356550033,2022-01-14,2023-11-15,2025-09-15
LINK,BCH,1612,0.12876387337413742,0.7475630250794622,2022-01-14,2024-03-30,2026-06-13
AAVE,APE,1549,0.13062390624474413,0.16178589556520007,2022-03-18,2024-04-30,2026-06-13
BTC,BCH,1990,0.13191652159325207,0.4744741893361003,2021-01-01,2023-09-23,2026-06-13
DOT,ATOM,1655,0.13316467713664865,1.0915084849952903,2021-12-02,2024-03-08,2026-06-13
AAVE,MKR,1524,0.13522524025164623,0.9970467970303082,2021-07-15,2023-08-16,2025-09-15
ETC,ATOM,1990,0.13677380159724445,0.6434838564313389,2021-01-01,2023-09-23,2026-06-13
DOGE,XRP,1079,0.13745917021983667,1.2239863299597082,2021-01-01,2024-12-21,2026-06-13
COMP,APE,1549,0.13793859587673446,0.19462711196823615,2022-03-18,2024-04-30,2026-06-13
FIL,SOL,1822,0.14049111171548034,1.0232593425259102,2021-06-18,2023-12-16,2026-06-13
APE,BCH,1549,0.14071231085083158,-0.48106850787605215,2022-03-18,2024-04-30,2026-06-13
SUSHI,ETH,1605,0.14108948607985727,0.9471026162817178,2022-01-21,2024-04-02,2026-06-13
SAND,LTC,1348,0.14118139174527872,0.6242116369674852,2022-10-05,2024-08-09,2026-06-13
AVAX,SUSHI,1605,0.14154046705954176,1.1114419280158625,2022-01-21,2024-04-02,2026-06-13
AAVE,BTC,1795,0.14526536382014638,1.3622241483370172,2021-07-15,2023-12-29,2026-06-13
LINK,ETH,1612,0.1458735076455952,1.1431850889742243,2022-01-14,2024-03-30,2026-06-13
SOL,DOGE,1990,0.14967920246066158,0.9529787828989864,2021-01-01,2023-09-23,2026-06-13
ATOM,MATIC,1102,0.15465704493921562,1.0888113450814751,2022-01-05,2023-07-10,2025-01-10
ETC,LINK,1612,0.15848173946082583,0.3923406862847989,2022-01-14,2024-03-30,2026-06-13
ATOM,ETH,1990,0.15852382344889676,1.0745940731411492,2021-01-01,2023-09-23,2026-06-13
COMP,LINK,1612,0.15880487846611824,0.6994141418386817,2022-01-14,2024-03-30,2026-06-13
ATOM,ALGO,1619,0.1603911899249057,0.5447548535394479,2022-01-07,2024-03-26,2026-06-13
ADA,XLM,1990,0.1626090429693477,1.0059986137952277,2021-01-01,2023-09-23,2026-06-13
BTC,ATOM,1990,0.1653372855267099,0.541993979783843,2021-01-01,2023-09-23,2026-06-13
UNI,APE,1549,0.16678833176859237,0.11897093047766447,2022-03-18,2024-04-30,2026-06-13
BTC,LTC,1990,0.16924631931158002,0.7071350039877146,2021-01-01,2023-09-23,2026-06-13
COMP,ALGO,1619,0.16979111389574536,0.4858326552107238,2022-01-07,2024-03-26,2026-06-13
CRV,COMP,1725,0.17010982559133236,0.9519685488319088,2021-09-23,2024-02-02,2026-06-13
XLM,NEAR,1606,0.17519892621188732,0.2654586753825771,2022-01-20,2024-04-02,2026-06-13
AVAX,ETC,1669,0.1758915094601856,1.889013943346412,2021-11-18,2024-03-01,2026-06-13
AAVE,BCH,1795,0.17843004195228263,0.8742468372438542,2021-07-15,2023-12-29,2026-06-13
AVAX,BNB,1669,0.17919852732761726,2.578465494993554,2021-11-18,2024-03-01,2026-06-13
SAND,BCH,1348,0.17985751370444736,-0.2050806815528914,2022-10-05,2024-08-09,2026-06-13
FIL,MKR,1551,0.18314782544368507,1.7291577347462677,2021-06-18,2023-08-02,2025-09-15
LINK,MATIC,1093,0.18526720944395592,0.8014556728728132,2022-01-14,2023-07-14,2025-01-10
SUSHI,BCH,1605,0.18587626373348654,0.44790398211745464,2022-01-21,2024-04-02,2026-06-13
FIL,LTC,1822,0.1874163990406621,2.294277394400124,2021-06-18,2023-12-16,2026-06-13
ALGO,BCH,1619,0.1875516867205424,0.38701548910223726,2022-01-07,2024-03-26,2026-06-13
XLM,MANA,1620,0.1881942384056115,0.3283723908786245,2022-01-06,2024-03-26,2026-06-13
AAVE,LTC,1795,0.1886717855446084,1.249392208588043,2021-07-15,2023-12-29,2026-06-13
LTC,NEAR,1606,0.19073941134541955,0.11248159597845599,2022-01-20,2024-04-02,2026-06-13
ATOM,NEAR,1606,0.19190828633567508,0.42232814967091625,2022-01-20,2024-04-02,2026-06-13
DOT,DOGE,1655,0.1922395787419262,1.5139894417305408,2021-12-02,2024-03-08,2026-06-13
LTC,MANA,1620,0.20320071015604746,0.19333800333353068,2022-01-06,2024-03-26,2026-06-13
LTC,ALGO,1619,0.2050064508317626,0.14911492615492497,2022-01-07,2024-03-26,2026-06-13
SUSHI,SOL,1605,0.20838900596809712,0.4647398416186124,2022-01-21,2024-04-02,2026-06-13
LINK,XRP,1066,0.2121407073930045,0.44920250844227855,2023-07-14,2024-12-28,2026-06-13
ETC,ETH,1990,0.21221450204107,1.0779849735503786,2021-01-01,2023-09-23,2026-06-13
FIL,ALGO,1619,0.21807512067162282,0.7700075699046632,2022-01-07,2024-03-26,2026-06-13
BTC,LINK,1612,0.22024382800511938,0.727073307999024,2022-01-14,2024-03-30,2026-06-13
AAVE,XRP,1066,0.2213888430999515,0.7743666537710039,2023-07-14,2024-12-28,2026-06-13
MKR,APE,1278,0.22145077234036903,0.0033154374255550934,2022-03-18,2023-12-17,2025-09-15
DOT,ETC,1655,0.2322260081204206,1.4051853386684998,2021-12-02,2024-03-08,2026-06-13
LTC,BCH,1990,0.23423664584441983,0.6084155293571913,2021-01-01,2023-09-23,2026-06-13
SUSHI,DOGE,1605,0.2352803859811492,1.4152895037787783,2022-01-21,2024-04-02,2026-06-13
SUSHI,LTC,1605,0.23801559644153708,1.05620825542662,2022-01-21,2024-04-02,2026-06-13
SAND,MANA,1348,0.23860369077728272,1.0014297547540456,2022-10-05,2024-08-09,2026-06-13
ETC,APE,1549,0.23864657713047477,0.19254949087963769,2022-03-18,2024-04-30,2026-06-13
COMP,ETH,1990,0.2394449633321828,1.618874281803177,2021-01-01,2023-09-23,2026-06-13
XLM,LINK,1612,0.24410803535185494,0.4485708835148721,2022-01-14,2024-03-30,2026-06-13
SAND,BTC,1348,0.2530180670238276,-0.1718506223961616,2022-10-05,2024-08-09,2026-06-13
ATOM,DOGE,1990,0.2534595373614852,0.4284586536728731,2021-01-01,2023-09-23,2026-06-13
BTC,COMP,1990,0.2608764872168341,0.3236133860392664,2021-01-01,2023-09-23,2026-06-13
FIL,APE,1549,0.2634787900215414,0.3981503126755317,2022-03-18,2024-04-30,2026-06-13
XLM,CRV,1725,0.2660425121083418,0.49951226808284127,2021-09-23,2024-02-02,2026-06-13
XLM,ALGO,1619,0.26620758150684826,0.27825433900243085,2022-01-07,2024-03-26,2026-06-13
UNI,MANA,1620,0.2687926794940133,0.3475082294639557,2022-01-06,2024-03-26,2026-06-13
APE,LINK,1549,0.27229350775931005,-0.371516231603406,2022-03-18,2024-04-30,2026-06-13
APE,XRP,1066,0.273195776183449,0.2340764486922606,2023-07-14,2024-12-28,2026-06-13
DOT,APE,1549,0.27397871365693227,0.3410248454802501,2022-03-18,2024-04-30,2026-06-13
UNI,XRP,1079,0.27942096588454113,0.4929888041362848,2021-01-01,2024-12-21,2026-06-13
CRV,DOGE,1725,0.2806134238094006,1.4734174874399435,2021-09-23,2024-02-02,2026-06-13
LINK,DOGE,1612,0.2818761039354618,1.0061457596913759,2022-01-14,2024-03-30,2026-06-13
COMP,DOGE,1990,0.2833153194082765,0.7052244505328154,2021-01-01,2023-09-23,2026-06-13
DOT,MANA,1620,0.284547556973744,0.693318220480037,2022-01-06,2024-03-26,2026-06-13
XLM,SUSHI,1605,0.28468506543191374,0.3478049186816334,2022-01-21,2024-04-02,2026-06-13
SAND,SOL,1348,0.2861477106133681,-0.03846615977086455,2022-10-05,2024-08-09,2026-06-13
ETC,MATIC,1102,0.28627964791805405,0.4719149222597363,2022-01-05,2023-07-10,2025-01-10
ADA,DOGE,1990,0.28687642858765083,0.7470270738234592,2021-01-01,2023-09-23,2026-06-13
SAND,ETH,1348,0.28796181569796303,-0.15030450923252203,2022-10-05,2024-08-09,2026-06-13
UNI,BTC,1990,0.2915820885088811,1.4803169269710688,2021-01-01,2023-09-23,2026-06-13
ALGO,ETH,1619,0.2918544080296539,0.8922687599195749,2022-01-07,2024-03-26,2026-06-13
CRV,XRP,1066,0.29281265635975495,0.5848206381084413,2023-07-14,2024-12-28,2026-06-13
