A,B,n_overlap,train_adf_p,beta,train_start,test_start,test_end
DOT,BCH,1655,0.5225255469253312,0.7700474784906564,2021-12-02,2024-03-08,2026-06-13
AVAX,ETH,1669,0.531246011416455,1.9082887180546517,2021-11-18,2024-03-01,2026-06-13
MATIC,ETH,1102,0.5407305003973486,0.8367387917655524,2022-01-05,2023-07-10,2025-01-10
SAND,UNI,1348,0.5413056927205522,0.36801112183669693,2022-10-05,2024-08-09,2026-06-13
ADA,LINK,1612,0.5453871697811395,0.772111416222126,2022-01-14,2024-03-30,2026-06-13
AVAX,SOL,1669,0.5540771418837238,0.8707426245473083,2021-11-18,2024-03-01,2026-06-13
SAND,COMP,1348,0.5575488299011246,0.3227532008649443,2022-10-05,2024-08-09,2026-06-13
APE,MANA,1549,0.561177349438119,1.1446908424732056,2022-03-18,2024-04-30,2026-06-13
COMP,MATIC,1102,0.5620860475281046,0.9847696660857502,2022-01-05,2023-07-10,2025-01-10
SAND,ADA,1348,0.5702863862652775,0.4765291416971261,2022-10-05,2024-08-09,2026-06-13
NEAR,XRP,1066,0.5785239747124554,0.4286263807767213,2023-07-14,2024-12-28,2026-06-13
XLM,MATIC,1102,0.5786970091960149,0.5697429036105551,2022-01-05,2023-07-10,2025-01-10
DOT,LTC,1655,0.5823140085256403,1.2805301470111436,2021-12-02,2024-03-08,2026-06-13
LTC,MATIC,1102,0.5863367633423641,0.655381322750845,2022-01-05,2023-07-10,2025-01-10
MATIC,BCH,1102,0.5897340828852878,0.5103077558211496,2022-01-05,2023-07-10,2025-01-10
CRV,NEAR,1606,0.5937366393391698,0.5724813178598089,2022-01-20,2024-04-02,2026-06-13
AVAX,BCH,1669,0.5961135299818416,1.1441426985066798,2021-11-18,2024-03-01,2026-06-13
ADA,ALGO,1619,0.5971017368923673,0.5609695068075075,2022-01-07,2024-03-26,2026-06-13
DOT,SOL,1655,0.6023740215266855,0.5836123319506371,2021-12-02,2024-03-08,2026-06-13
SAND,AAVE,1348,0.6087533928170379,0.32727687587097376,2022-10-05,2024-08-09,2026-06-13
XLM,SOL,1990,0.6087984773570732,0.21869865952469567,2021-01-01,2023-09-23,2026-06-13
LINK,LTC,1612,0.6107144791486755,0.6916916525107447,2022-01-14,2024-03-30,2026-06-13
BTC,APE,1549,0.6122811946487766,-0.18543065059889555,2022-03-18,2024-04-30,2026-06-13
AVAX,XRP,1066,0.6122999670678955,0.46151930542323477,2023-07-14,2024-12-28,2026-06-13
MKR,MATIC,1102,0.6180534525212487,0.7052277823497513,2022-01-05,2023-07-10,2025-01-10
MKR,NEAR,1335,0.6199724771449086,0.29280496505743825,2022-01-20,2023-11-18,2025-09-15
ATOM,XRP,1079,0.6268912850511945,0.1952054987327792,2021-01-01,2024-12-21,2026-06-13
MKR,SUSHI,1334,0.6354681744426658,0.3731127198146747,2022-01-21,2023-11-19,2025-09-15
MKR,ETH,1719,0.6365294149432694,1.1855427354365364,2021-01-01,2023-05-10,2025-09-15
MKR,MANA,1349,0.6417519470491346,0.37293127201553483,2022-01-06,2023-11-11,2025-09-15
LINK,NEAR,1606,0.6430536918395594,0.3163077866785823,2022-01-20,2024-04-02,2026-06-13
MANA,ETH,1620,0.6450691324547253,1.113735847681767,2022-01-06,2024-03-26,2026-06-13
DOT,MATIC,1102,0.650377462882965,0.9620610289905722,2022-01-05,2023-07-10,2025-01-10
ALGO,DOGE,1619,0.6573168656487632,1.597015721688039,2022-01-07,2024-03-26,2026-06-13
FIL,BTC,1822,0.6583366375248922,2.377275247244259,2021-06-18,2023-12-16,2026-06-13
MKR,ALGO,1348,0.6677071070718843,0.29166238795051486,2022-01-07,2023-11-12,2025-09-15
UNI,ETC,1990,0.6677292125920602,0.6713723875674099,2021-01-01,2023-09-23,2026-06-13
FIL,BCH,1822,0.6718842779829659,1.5133034725143637,2021-06-18,2023-12-16,2026-06-13
AVAX,LTC,1669,0.6728798916400202,1.6076750187593398,2021-11-18,2024-03-01,2026-06-13
LINK,ALGO,1612,0.6738583144824555,0.25502565837395436,2022-01-14,2024-03-30,2026-06-13
MKR,ETC,1719,0.677709108369289,0.6228611232667304,2021-01-01,2023-05-10,2025-09-15
XLM,BNB,1990,0.678609521800414,0.2736203596112356,2021-01-01,2023-09-23,2026-06-13
SOL,MATIC,1102,0.682239379849511,1.1170392997919427,2022-01-05,2023-07-10,2025-01-10
MKR,CRV,1454,0.691573881937559,0.6335726151445104,2021-09-23,2023-09-20,2025-09-15
