pair,train_adf_p,beta,tr_sharpe,tr_total,tr_trades,te_sharpe,te_total,te_trades,te_sharpe_maker,te_total_maker
BNB/XRP,0.014,0.636,-1.32,-0.925,17,-0.64,-0.274,18,-0.47,-0.202
BNB/COMP,0.0,0.106,-1.19,-2.521,34,-0.66,-0.628,34,-0.51,-0.49
MKR/LTC,0.0151,1.049,0.39,0.555,33,-0.67,-0.945,32,-0.58,-0.817
BCH/ETH,0.0219,1.324,0.33,0.491,43,-0.7,-1.123,36,-0.6,-0.977
DOGE/BCH,0.0014,0.519,-0.37,-0.983,35,-0.71,-1.046,36,-0.61,-0.902
MKR/BTC,0.0416,1.353,-0.25,-0.359,32,-0.71,-0.963,31,-0.62,-0.839
BNB/ATOM,0.0014,0.625,-0.46,-0.696,39,-0.79,-0.773,35,-0.64,-0.633
BNB/BCH,0.0,0.152,-1.22,-2.476,33,-0.79,-0.723,33,-0.65,-0.591
XLM/BCH,0.0001,0.806,0.24,0.367,39,-0.83,-1.548,43,-0.73,-1.376
BNB/DOGE,0.003,0.549,0.84,1.379,35,-0.89,-0.8,36,-0.72,-0.656
MKR/ADA,0.0219,0.832,0.02,0.033,32,-0.94,-1.529,29,-0.87,-1.413
ADA/BCH,0.0122,0.819,-0.66,-1.031,41,-0.96,-1.493,32,-0.87,-1.365
SOL/LTC,0.002,0.561,-0.93,-1.948,34,-1.04,-1.396,36,-0.93,-1.252
DOGE/ETH,0.0275,1.441,-0.03,-0.094,33,-1.07,-1.454,35,-0.96,-1.312
